row_label_raw,row_label_full,Tại ngày 31/12/2020,Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2020,Trên 1 nãmdến 5 nămVND > Tại ngày 31/12/2020,Trên 5 nămVND > Tại ngày 31/12/2020,CộngVND > Tại ngày 31/12/2020,numeric__Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2020,numeric__Trên 1 nãmdến 5 nămVND > Tại ngày 31/12/2020,numeric__Trên 5 nămVND > Tại ngày 31/12/2020,numeric__CộngVND > Tại ngày 31/12/2020
Vay và nợ,Vay và nợ,Vay và nợ,1.586.448.058.089,595.240.000.000,1.576.088.298.868,3.757.776.356.957,1586448058089.0,595240000000.0,1576088298868.0,3757776356957.0
"Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác",1.158.559.998.308,4.638.703.453,-,1.163.198.701.761,1158559998308.0,4638703453.0,,1163198701761.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,165.534.227.533,-,-,165.534.227.533,165534227533.0,,,165534227533.0
,,,2.910.542.283.930,599.878.703.453,1.576.088.298.868,5.086.509.286.251,2910542283930.0,599878703453.0,1576088298868.0,5086509286251.0
,,,Từ 1 nãmtrở xuốngVND,Trên 1 nãmdến 5 nămVND,Trên 5 nămVND,CộngVND,,,,
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Vay và nợ,Tại ngày 01/01/2020 > Vay và nợ,Vay và nợ,950.604.863.783,497.440.000.000,1.598.758.106.670,3.046.802.970.453,950604863783.0,497440000000.0,1598758106670.0,3046802970453.0
"Phải trả người bán, phải trảkhác","Tại ngày 01/01/2020 > Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác",909.288.682.123,1.529.547.965,-,910.818.230.088,909288682123.0,1529547965.0,,910818230088.0
Chi phí phải trả,Tại ngày 01/01/2020 > Chi phí phải trả,Chi phí phải trả,118.503.097.752,-,-,118.503.097.752,118503097752.0,,,118503097752.0
,,,1.978.396.643.658,498.969.547.965,1.598.758.106.670,4.076.124.298.293,1978396643658.0,498969547965.0,1598758106670.0,4076124298293.0
