row_label_raw,row_label_full,col_0,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả
Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,,,,,,
,,,Loại tiền,Mục đích vay,Kỳ hạn,Hình thức đảm bảo,31/12/2020,01/01/2020,,,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,Bổ sung vốn lưu động,Dưới 12 tháng,Tín chấp,VND162.006.531.008,VND59.661.223.348,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Bổ sung vốn lưu động,Dưới 9 tháng,Tín chấp,369.040.452.802,209.036.618.261,,,,,369040452802.0,209036618261.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,Bổ sung vốn lưu động,Dưới 12 tháng,Tín chấp,537.601.979.089,380.965.737.800,,,,,537601979089.0,380965737800.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,Bổ sung vốn lưu động,Dưới 9 tháng,Tín chấp,4.985.127.589,8.806.452.354,,,,,4985127589.0,8806452354.0
Ngân hàng Shinhan Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng Shinhan Việt Nam,Ngân hàng Shinhan Việt Nam,VND,Bổ sung vốn lưu động,6 tháng,Tín chấp,63.726.327.474,156.647.632.020,,,,,63726327474.0,156647632020.0
Ngân hàng BNP Paribas CN Hà Nội,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng BNP Paribas CN Hà Nội,Ngân hàng BNP Paribas CN Hà Nội,VND,Bổ sung vốn lưu động,6 tháng,Tín chấp,257.303.208.754,-,,,,,257303208754.0,
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,,Bổ sung vốn lưu động,Dưới 12 tháng,Tín chấp,282.757.373,-,,,,,282757373.0,
Đối tượng khác,Ngân hàng TMCP Ngoại thương Việt Nam > Đối tượng khác,Đối tượng khác,VND,Bổ sung vốn lưu động,Dưới 12 tháng,Tín chấp,41.733.674.000,14.951.700.000,,,,,41733674000.0,14951700000.0
,,,,,,,1.436.680.058.089,830.069.363.783,,,,,1436680058089.0,830069363783.0
