row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Điều chỉnh khác (*),Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Điều chỉnh khác (*),numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,5.767.811.736,176.260.972.351,133.148.612.638,119.743.944,-,48.999.915.393,,5767811736.0,176260972351.0,133148612638.0,119743944.0,,48999915393.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,420.126.919,420.126.919,-,-,-,,,420126919.0,420126919.0,,,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,152.807.326,34.380.541.627,121.451.737.943,64.182.629.362,13.869.423,122.678.842,91.633.391.147,152807326.0,34380541627.0,121451737943.0,64182629362.0,13869423.0,122678842.0,91633391147.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,835.307.150,11.896.288.226,12.157.898.411,-,-,573.696.965,,835307150.0,11896288226.0,12157898411.0,,,573696965.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,1.099.249.643,55.199.817.305,54.638.602.206,-,-,1.660.464.742,,1099249643.0,55199817305.0,54638602206.0,,,1660464742.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",305.474.576,-,5.284.981.918,5.278.610.914,-,299.103.572,-,305474576.0,,5284981918.0,5278610914.0,,299103572.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,777.183.627,777.183.627,-,-,-,,,777183627.0,777183627.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,3.236.760.810,3.202.475.200,-,183.695,34.469.305,,,3236760810.0,3202475200.0,,183695.0,34469305.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,1.826.832.172,18.257.125.807,16.619.614.561,-,-,3.464.343.418,,1826832172.0,18257125807.0,16619614561.0,,,3464343418.0
,,,458.281.902,43.909.742.328,392.784.994.906,290.425.753.838,133.613.367,421.966.109,146.366.280.970,458281902.0,43909742328.0,392784994906.0,290425753838.0,133613367.0,421966109.0,146366280970.0
