row_label_raw,row_label_full,Diễn giải,Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soátVND,Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND,numeric__Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soátVND,numeric__Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND
Tài sản,Tài sản,Tài sản,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.868.657.964,1.868.657.964,1868657964.0,1868657964.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,13.599.426.541,13.599.426.541,13599426541.0,13599426541.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.612.926.260,1.612.926.260,1612926260.0,1612926260.0
Tài sản cố định hữu hình (thuần),Tài sản > Tài sản cố định hữu hình (thuần),Tài sản cố định hữu hình (thuần),66.998.332,66.998.332,66998332.0,66998332.0
Các tài sản khác,Tài sản > Các tài sản khác,Các tài sản khác,26.969.337,26.969.337,26969337.0,26969337.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,17.174.978.434,17.174.978.434,17174978434.0,17174978434.0
Nợ phải trả,Tài sản > Nợ phải trả,Nợ phải trả,,10.332.000.446,,10332000446.0
Cộng nợ phải trả,Tài sản > Cộng nợ phải trả,Cộng nợ phải trả,,10.332.000.446,,10332000446.0
Tổng giá trị tài sản thuần,Tài sản > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,6.842.977.988,6.842.977.988,6842977988.0,6842977988.0
Lợi ích của cố đông không kiểm soát,Tài sản > Lợi ích của cố đông không kiểm soát,Lợi ích của cố đông không kiểm soát,3.489.918.774,3.489.918.774,3489918774.0,3489918774.0
Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (51%),Tài sản > Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (51%),Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (51%),3.489.918.774,3.489.918.774,3489918774.0,3489918774.0
Tổng giá phí của khoản đầu tư này,Tài sản > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,1.876.851.000,,1876851000.0
Lãi từ giao dịch mua rẻ phát sinh từ hợp nhấtkinh doanh,Tài sản > Lãi từ giao dịch mua rẻ phát sinh từ hợp nhấtkinh doanh,Lãi từ giao dịch mua rẻ phát sinh từ hợp nhấtkinh doanh,,(1.613.067.774),,-1613067774.0
