row_label_raw,row_label_full,Diễn giải,Giá trị ghi số tạithời điểm đạt đượcquyền kiểm soátVND,Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND,numeric__Giá trị ghi số tạithời điểm đạt đượcquyền kiểm soátVND,numeric__Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND
Tài sản,Tài sản,Tài sản,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,262.578.030,262.578.030,262578030.0,262578030.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,46.805.000.000,46.805.000.000,46805000000.0,46805000000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,264.213.388,264.213.388,264213388.0,264213388.0
Xây dựng cơ bản dở dang,Tài sản > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,2.668.208.582,2.668.208.582,2668208582.0,2668208582.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Tổng giá trị tài sản thuần,Tài sản > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Lợi ích của cổ đông không kiểm soát,Tài sản > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,50.000.000,50.000.000,50000000.0,50000000.0
"Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (96,65%)","Tài sản > Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (96,65%)","Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (96,65%)",48.325.000.000,48.325.000.000,48325000000.0,48325000000.0
Tổng giá phí của khoản đầu tư này,Tài sản > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,230.742.210.000,,230742210000.0
Lợi thể thương mại phát sinh từ hợp nhấtkinh doanh,Tài sản > Lợi thể thương mại phát sinh từ hợp nhấtkinh doanh,Lợi thể thương mại phát sinh từ hợp nhấtkinh doanh,,182.417.210.000,,182417210000.0
