row_label_raw,row_label_full,Tên lô đất/Địa điểm lô đất,Diện tích thuê (m2),Thời gian thuê,Mục đích thuê,Ghi chú,numeric__Diện tích thuê (m2),numeric__Thời gian thuê,numeric__Mục đích thuê,numeric__Ghi chú
"Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng","Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng","Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng",817.769,48 năm 5 tháng,Lòng hồ Nhà máy thủy điện Bảo lạc B,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,817769.0,,,
"Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng","Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng","Khu đất tại xã Bảo Toàn, H. Bảo Lạc, Cao Bằng",124.514,49 năm 8 tháng,Nhà máy thủy điện Bảo lạc B,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,124514.0,,,
"Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang","Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang","Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang",392.026,48 năm,Lòng hồ Nhà máy thủy điện Sông Nhiệm 4,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,392026.0,,,
"Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang","Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang","Khu đất tại xã Niêm Tòng, Mèo Vạc, Hà Giang",15.228,48 năm,Nhà máy thủy điện Sông Nhiệm 4,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,15228.0,,,
"Tổ 14, Thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội","Tổ 14, Thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội","Tổ 14, Thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội",28.255,Hàng năm,Trụ sở làm việc,Trả tiền thuê đất hàng năm,28255.0,,,
"Khu đất tại huyện Mường Chà, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 13/HĐTĐ ngày 09/06/2019","Khu đất tại huyện Mường Chà, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 13/HĐTĐ ngày 09/06/2019","Khu đất tại huyện Mường Chà, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 13/HĐTĐ ngày 09/06/2019","43.077,1",35 năm,Đất công trình năng lượng để xây dựng công trình phụ trợ đấu nối nhà máy Thủy điện Trung Thu,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,43077.1,,,
"Khu đất tại xã Trung Thu, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 179/HĐTĐ ngày 13/05/2016","Khu đất tại xã Trung Thu, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 179/HĐTĐ ngày 13/05/2016","Khu đất tại xã Trung Thu, huyện Tủa Chùa, tỉnh Điện Biên theo hợp đồng số 179/HĐTĐ ngày 13/05/2016","468.008,1",34 năm,Đất công trình năng lượng để xây dựng công trình thủy điện Trung Thu (khu vực lòng hồ),Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,468008.1,,,
"Khu đất tại xã Năm Nên, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Năm Nên, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Năm Nên, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","504.949,1",34 năm,Đất công trình năng lượng để xây dựng công trình thủy điện Trung Thu (khu vực lòng hồ),Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,504949.1,,,
"Khu đất tại xã Pa Hem, Năm Nên, huyện Mường Chà, tỉnh Điện Biên Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Pa Hem, Năm Nên, huyện Mường Chà, tỉnh Điện Biên Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Pa Hem, Năm Nên, huyện Mường Chà, tỉnh Điện Biên Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","\( 503.557,2 \text{ m}^{2} \)",34 năm,Đất công trình năng lượng để xây dựng công trình thủy điện Trung Thu,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,,,,
"Khu đất tại xã Pa Hem, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Pa Hem, Năm Nên, huyện Mường Chà, tỉnh Điện Biên Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016 > Khu đất tại xã Pa Hem, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","Khu đất tại xã Pa Hem, huyện Mường Chà, tỉnh Điện Biên theo hợp đồng số 143/HĐTĐ ngày 20/04/2016","873.747,4",34 năm,Đất công trình năng lượng để xây dựng công trình thủy điện Trung Thu,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,873747.4,,,
