row_label_raw,row_label_full,Diễn giải,Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soátVND,Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND,numeric__Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soátVND,numeric__Giá trị hợp lý tại thờiđiểm đạt được quyềnkiểm soátVND
Tài sân,Tài sân,Tài sân,,,,
Tiền và các khoản tương đương tiền,Tài sân > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,596.190.425,596.190.425,596190425.0,596190425.0
Các khoản phải thu,Tài sân > Các khoản phải thu,Các khoản phải thu,48.350.000.000,48.350.000.000,48350000000.0,48350000000.0
Tài sân ngắn hạn khác,Tài sân > Tài sân ngắn hạn khác,Tài sân ngắn hạn khác,95.523.292,95.523.292,95523292.0,95523292.0
Xây dựng cơ bản dở dang,Tài sân > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,968.286.283,968.286.283,968286283.0,968286283.0
Cộng tài sân,Tài sân > Cộng tài sân,Cộng tài sân,50.010.000.000,50.010.000.000,50010000000.0,50010000000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,10.000.000,10.000.000,10000000.0,10000000.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,10.000.000,10.000.000,10000000.0,10000000.0
Tổng giá trị tài sân thuần,Nợ phải trả > Tổng giá trị tài sân thuần,Tổng giá trị tài sân thuần,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Lợi ích của cổ đông không kiểm soát,Nợ phải trả > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,50.000.000,50.000.000,50000000.0,50000000.0
"Tổng giá trị tài sân thuần tương ứng với lợiích của Công ty mẹ (96,65%)","Nợ phải trả > Tổng giá trị tài sân thuần tương ứng với lợiích của Công ty mẹ (96,65%)","Tổng giá trị tài sân thuần tương ứng với lợiích của Công ty mẹ (96,65%)",48.325.000.000,48.325.000.000,48325000000.0,48325000000.0
Tổng giá phí của khoản đầu tư này,Nợ phải trả > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,230.742.210.000,,230742210000.0
Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh,Nợ phải trả > Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh,Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh,,182.417.210.000,,182417210000.0
