row_label_raw,row_label_full,col_0,Chung cư NàngHươngVND,Chung cư Mỹ ĐìnhplazaVND,Chung cư PCC1 HàĐông ComplexVND,Chung cư Mỹ Đìnhplaza 2VND,Chung cư PCC1Thanh XuânVND,CộngVND,numeric__Chung cư NàngHươngVND,numeric__Chung cư Mỹ ĐìnhplazaVND,numeric__Chung cư PCC1 HàĐông ComplexVND,numeric__Chung cư Mỹ Đìnhplaza 2VND,numeric__Chung cư PCC1Thanh XuânVND,numeric__CộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,24.269.520.970,75.796.415.530,-,201.620.288.549,11076525175.0,90477826874.0,24269520970.0,75796415530.0,,201620288549.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,-,-,-,63.259.899.984,63.259.899.984,,,,,63259899984.0,63259899984.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,24.269.520.970,75.796.415.530,63.259.899.984,264.880.188.533,11076525175.0,90477826874.0,24269520970.0,75796415530.0,63259899984.0,264880188533.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.701.841.643,21.934.704.810,3.401.722.434,4.532.022.055,-,33.570.290.942,3701841643.0,21934704810.0,3401722434.0,4532022055.0,,33570290942.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,399.871.729,4.384.467.965,973.440.509,3.031.856.624,1.265.198.000,10.054.834.827,399871729.0,4384467965.0,973440509.0,3031856624.0,1265198000.0,10054834827.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.101.713.372,26.319.172.775,4.375.162.943,7.563.878.679,1.265.198.000,43.625.125.769,4101713372.0,26319172775.0,4375162943.0,7563878679.0,1265198000.0,43625125769.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.374.683.532,68.543.122.064,20.867.798.536,71.264.393.475,-,168.049.997.607,7374683532.0,68543122064.0,20867798536.0,71264393475.0,,168049997607.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,6.974.811.803,64.158.654.099,19.894.358.027,68.232.536.851,61.994.701.984,221.255.062.764,6974811803.0,64158654099.0,19894358027.0,68232536851.0,61994701984.0,221255062764.0
