row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2020,01/01/2020,,
,,,VND,VND,,
- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,-,2.184.159.953,,2184159953.0
- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,13.597.369.411,-,13597369411.0,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,13.597.369.411,2.184.159.953,13597369411.0,2184159953.0
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2020,01/01/2020,,
,,,VND,VND,,
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,16.639.764.340,20.248.513.657,16639764340.0,20248513657.0
- Thuế thu nhập hoãn lại phải trả tương ứng với lãi chưa thực hiện,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả tương ứng với lãi chưa thực hiện,- Thuế thu nhập hoãn lại phải trả tương ứng với lãi chưa thực hiện,(2.053.016.766),(3.353.489.095),-2053016766.0,-3353489095.0
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,14.586.747.574,16.895.024.562,14586747574.0,16895024562.0
c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,,
,,,Năm 2020,Năm 2019,,
,,,VND,VND,,
Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,2.184.159.953,(2.184.159.953),2184159953.0,-2184159953.0
Chi phí thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,Chi phí thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,(12.296.897.082),(1.409.672.217),-12296897082.0,-1409672217.0
Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,(3.608.749.317),6.690.991.589,-3608749317.0,6690991589.0
,,,(13.721.486.446),3.097.159.419,-13721486446.0,3097159419.0
