row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Năng lượng,Hoạt động bán hàng,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Năng lượng,numeric__Hoạt động bán hàng,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,3.060.741.678.342,825.757.109.539,856.093.531.787,748.112.842.891,1.121.778.208.590,66.117.210.194,6.678.600.581.343,3060741678342.0,825757109539.0,856093531787.0,748112842891.0,1121778208590.0,66117210194.0,6678600581343.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,2.753.270.380.528,741.030.247.782,577.424.760.957,296.465.086.448,1.096.148.207.293,52.607.408.399,5.516.946.091.407,2753270380528.0,741030247782.0,577424760957.0,296465086448.0,1096148207293.0,52607408399.0,5516946091407.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,307.471.297.814,84.726.861.757,278.668.770.830,451.647.756.443,25.630.001.297,13.509.801.795,1.161.654.489.936,307471297814.0,84726861757.0,278668770830.0,451647756443.0,25630001297.0,13509801795.0,1161654489936.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,8.947.567.027,4.118.338.453,63.259.899.984,829.088.243.908,-,260.000.000,905.674.049.372,8947567027.0,4118338453.0,63259899984.0,829088243908.0,,260000000.0,905674049372.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.747.635.183.789,382.181.121.963,532.302.566.298,4.852.295.487.841,262.440.973.882,44.689.061.418,8.821.544.395.191,2747635183789.0,382181121963.0,532302566298.0,4852295487841.0,262440973882.0,44689061418.0,8821544395191.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,1.900.123.697.927,,,,,,,1900123697927.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.747.635.183.789,382.181.121.963,532.302.566.298,4.852.295.487.841,262.440.973.882,44.689.061.418,10.721.668.093.118,2747635183789.0,382181121963.0,532302566298.0,4852295487841.0,262440973882.0,44689061418.0,10721668093118.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.352.106.317.365,318.892.507.133,128.851.311.553,2.568.030.849.953,180.555.233.006,24.862.208.233,4.573.298.427.243,1352106317365.0,318892507133.0,128851311553.0,2568030849953.0,180555233006.0,24862208233.0,4573298427243.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,1.378.843.663.562,,,,,,,1378843663562.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.352.106.317.365,318.892.507.133,128.851.311.553,2.568.030.849.953,180.555.233.006,24.862.208.233,5.952.142.090.805,1352106317365.0,318892507133.0,128851311553.0,2568030849953.0,180555233006.0,24862208233.0,5952142090805.0
