row_label_raw,row_label_full,col_0,Năm 2020,Năm 2019(Điều chỉnh lại),numeric__Năm 2020,numeric__Năm 2019(Điều chỉnh lại)
,,,VND,VND,,
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,512.806.303.331,357.791.610.160,512806303331.0,357791610160.0
Lợi nhuận phân bổ cho cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ phiếu phổ thông,512.806.303.331,357.791.610.160,512806303331.0,357791610160.0
Cổ phiếu phổ thông lưu hành bình quân trong năm,Cổ phiếu phổ thông lưu hành bình quân trong năm,Cổ phiếu phổ thông lưu hành bình quân trong năm,191.187.727,191.187.727,191187727.0,191187727.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.682,1.871,2682.0,1871.0
