row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2021,Tại ngày 01/01/2021,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2021,numeric__Tại ngày 01/01/2021
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,1.013.019.794.143,1.117.692.215.037,100.0,,1013019794143.0,1117692215037.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4.1,28.158.397.911,31.889.335.434,110.0,41.0,28158397911.0,31889335434.0
1. Tiền,1. Tiền,1. Tiền,111,,28.158.397.911,31.889.335.434,111.0,,28158397911.0,31889335434.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,781.295.000.000,957.895.000.000,120.0,,781295000000.0,957895000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,4.2,781.295.000.000,957.895.000.000,123.0,42.0,781295000000.0,957895000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,190.053.803.608,104.986.443.077,130.0,,190053803608.0,104986443077.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,4.3,53.557.767.261,46.989.438.002,131.0,43.0,53557767261.0,46989438002.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,907.855.000,1.194.712.320,132.0,,907855000.0,1194712320.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,4.4,145.978.292.155,63.651.819.480,136.0,44.0,145978292155.0,63651819480.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,4.5,(10.390.110.808),(6.849.526.725),137.0,45.0,-10390110808.0,-6849526725.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,12.134.386.778,12.025.473.643,140.0,,12134386778.0,12025473643.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,4.6,12.134.386.778,12.025.473.643,141.0,46.0,12134386778.0,12025473643.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.378.205.846,10.895.962.883,150.0,,1378205846.0,10895962883.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,4.11,243.261.360,10.265.831.164,151.0,411.0,243261360.0,10265831164.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,4.14,1.132.859.481,628.046.714,152.0,414.0,1132859481.0,628046714.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,4.14,2.085.005,2.085.005,153.0,414.0,2085005.0,2085005.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.373.339.430.619,3.230.023.881.384,200.0,,3373339430619.0,3230023881384.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,200.000.000,1.276.538.000,210.0,,200000000.0,1276538000.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,,200.000.000,200.000.000,212.0,,200000000.0,200000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,,-,1.076.538.000,216.0,,,1076538000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,12.973.727.287,14.230.588.833,220.0,,12973727287.0,14230588833.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,4.7,3.588.342.643,4.185.612.729,221.0,47.0,3588342643.0,4185612729.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,13.879.024.565,13.471.218.202,222.0,,13879024565.0,13471218202.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(10.290.681.922),(9.285.605.473),223.0,,-10290681922.0,-9285605473.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,4.8,9.385.384.644,10.044.976.104,227.0,48.0,9385384644.0,10044976104.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,14.248.840.250,14.248.840.250,228.0,,14248840250.0,14248840250.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(4.863.455.606),(4.203.864.146),229.0,,-4863455606.0,-4203864146.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,4.9,29.263.522.148,3.391.369.071,230.0,49.0,29263522148.0,3391369071.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,142.408.783.302,115.188.369.923,231.0,,142408783302.0,115188369923.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(113.145.261.154),(111.797.000.852),232.0,,-113145261154.0,-111797000852.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,6.424.868.403,27.689.155.124,240.0,,6424868403.0,27689155124.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,4.10,6.424.868.403,27.689.155.124,242.0,410.0,6424868403.0,27689155124.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,4.2,3.204.885.275.373,3.016.555.758.119,250.0,42.0,3204885275373.0,3016555758119.0
