row_label_raw,row_label_full,Công ty TNHH Flanon Việt Nam,Tại ngày31/12/2021VND > 14.000.536.493,Tại ngày01/01/2021VND > -,numeric__Tại ngày31/12/2021VND > 14.000.536.493,numeric__Tại ngày01/01/2021VND > -
Công ty TNHH Ông Thép Sài Gòn,Công ty TNHH Ông Thép Sài Gòn,Công ty TNHH Ông Thép Sài Gòn,12.775.451.040,-,12775451040.0,
Công ty Cổ phần Tập đoàn Tân Mai,Công ty Cổ phần Tập đoàn Tân Mai,Công ty Cổ phần Tập đoàn Tân Mai,10.698.769.994,7.760.026.614,10698769994.0,7760026614.0
Công ty Cổ phần Tấm lợp và Vật liệu Xây dựng Đồng Nai,Công ty Cổ phần Tấm lợp và Vật liệu Xây dựng Đồng Nai,Công ty Cổ phần Tấm lợp và Vật liệu Xây dựng Đồng Nai,5.688.872.455,4.704.323.812,5688872455.0,4704323812.0
Công ty TNHH Dasan Hygiene Vina,Công ty TNHH Dasan Hygiene Vina,Công ty TNHH Dasan Hygiene Vina,-,12.053.049.485,,12053049485.0
Công ty TNHH Gia Thủy,Công ty TNHH Gia Thủy,Công ty TNHH Gia Thủy,-,7.063.985.281,,7063985281.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,10.394.137.279,15.408.052.810,10394137279.0,15408052810.0
Cộng,Cộng,Cộng,53.557.767.261,46.989.438.002,53557767261.0,46989438002.0
