row_label_raw,row_label_full,col_0,Tại ngày31/12/2021VND,Tại ngày01/01/2021VND,numeric__Tại ngày31/12/2021VND,numeric__Tại ngày01/01/2021VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất KCN Biên Hòa 1,Ngắn hạn: > Tiền thuê đất KCN Biên Hòa 1,Tiền thuê đất KCN Biên Hòa 1,-,10.062.858.044,,10062858044.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,243.261.360,202.973.120,243261360.0,202973120.0
Cộng,Ngắn hạn: > Cộng,Cộng,243.261.360,10.265.831.164,243261360.0,10265831164.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật KCN Châu Đức,Dài hạn: > Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật KCN Châu Đức,Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật KCN Châu Đức,113.911.481.623,163.224.336.438,113911481623.0,163224336438.0
"Chi phí sửa chữa, bảo trì KCN Biên Hòa 1","Dài hạn: > Chi phí sửa chữa, bảo trì KCN Biên Hòa 1","Chi phí sửa chữa, bảo trì KCN Biên Hòa 1",4.216.064.422,2.715.431.673,4216064422.0,2715431673.0
Công cụ dụng cụ,Dài hạn: > Công cụ dụng cụ,Công cụ dụng cụ,852.677.672,940.704.126,852677672.0,940704126.0
Các khoản khác,Dài hạn: > Các khoản khác,Các khoản khác,611.813.691,-,611813691.0,
Cộng,Dài hạn: > Cộng,Cộng,119.592.037.408,166.880.472.237,119592037408.0,166880472237.0
