row_label_raw,row_label_full,Khoản mục,Tại ngày01/01/2021VND,Tăngtrong nămVND,Giảmtrong nămVND,Tại ngày31/12/2021VND,numeric__Tại ngày01/01/2021VND,numeric__Tăngtrong nămVND,numeric__Giảmtrong nămVND,numeric__Tại ngày31/12/2021VND
Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Hệ thống đường KCN Biên Hòa 1,Nguyên giá: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,97.223.269.271,-,1.195.279.209,96.027.990.062,97223269271.0,,1195279209.0,96027990062.0
Hệ thống thoát nước KCN Biên Hòa 1,Nguyên giá: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.438.070.440,-,-,14.438.070.440,14438070440.0,,,14438070440.0
"Hệ thống điện,camera KCN Biên Hòa 1","Nguyên giá: > Hệ thống điện,camera KCN Biên Hòa 1","Hệ thống điện,camera KCN Biên Hòa 1",3.527.030.212,419.722.544,32.053.813,3.914.698.943,3527030212.0,419722544.0,32053813.0,3914698943.0
Nhà xưởng KCN Châu Đức,Nguyên giá: > Nhà xưởng KCN Châu Đức,Nhà xưởng KCN Châu Đức,-,28.028.023.857,-,28.028.023.857,,28028023857.0,,28028023857.0
Cộng,Nguyên giá: > Cộng,Cộng,115.188.369.923,28.447.746.401,1.227.333.022,142.408.783.302,115188369923.0,28447746401.0,1227333022.0,142408783302.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,93.950.469.192,1.159.516.216,1.195.279.209,93.914.706.199,93950469192.0,1159516216.0,1195279209.0,93914706199.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.387.910.115,16.720.108,-,14.404.630.223,14387910115.0,16720108.0,,14404630223.0
Hệ thống điện KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.458.621.545,19.719.000,32.053.813,3.446.286.732,3458621545.0,19719000.0,32053813.0,3446286732.0
Nhà xưởng KCN Châu Đức,Giá trị hao mòn lũy kế: > Nhà xưởng KCN Châu Đức,Nhà xưởng KCN Châu Đức,-,1.379.638.000,-,1.379.638.000,,1379638000.0,,1379638000.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,111.797.000.852,2.575.593.324,1.227.333.022,113.145.261.154,111797000852.0,2575593324.0,1227333022.0,113145261154.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,3.272.800.079,,,2.113.283.863,3272800079.0,,,2113283863.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,50.160.325,,,33.440.217,50160325.0,,,33440217.0
Hệ thống điện KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,68.408.667,,,468.412.211,68408667.0,,,468412211.0
Nhà xưởng KCN Châu Đức,Giá trị còn lại: > Nhà xưởng KCN Châu Đức,Nhà xưởng KCN Châu Đức,-,,,26.648.385.857,,,,26648385857.0
Cộng,Giá trị còn lại: > Cộng,Cộng,3.391.369.071,,,29.263.522.148,3391369071.0,,,29263522148.0
