row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2021,Năm 2020,numeric__Mã số,numeric__TM,numeric__Năm 2021,numeric__Năm 2020
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,198.107.340.905,183.315.167.859,1.0,51.0,198107340905.0,183315167859.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,198.107.340.905,183.315.167.859,10.0,,198107340905.0,183315167859.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,5.2,87.885.042.522,96.494.107.728,11.0,52.0,87885042522.0,96494107728.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,110.222.298.383,86.821.060.131,20.0,,110222298383.0,86821060131.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,5.3,380.622.060.146,398.906.844.211,21.0,53.0,380622060146.0,398906844211.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,5.4,4.906.339.392,(5.213.576.487),22.0,54.0,4906339392.0,-5213576487.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,359.671.233,199.890.028,23.0,,359671233.0,199890028.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,,1.612.657.451,2.129.447.848,25.0,,1612657451.0,2129447848.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,5.5,44.109.977.342,47.518.806.768,26.0,55.0,44109977342.0,47518806768.0
9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,30,,440.215.384.344,441.293.226.213,30.0,,440215384344.0,441293226213.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,2.276.516.000,181.783.820,31.0,,2276516000.0,181783820.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,-,192.222.900,32.0,,,192222900.0
12. Lợi nhuận khác,12. Lợi nhuận khác,12. Lợi nhuận khác,40,,2.276.516.000,(10.439.080),40.0,,2276516000.0,-10439080.0
13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,50,,442.491.900.344,441.282.787.133,50.0,,442491900344.0,441282787133.0
14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,51,5.7,23.193.028.942,22.338.616.299,51.0,57.0,23193028942.0,22338616299.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,419.298.871.402,418.944.170.834,60.0,,419298871402.0,418944170834.0
