row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021,Tại ngày 31/12/2021_1,Tại ngày 01/01/2021,Tại ngày 01/01/2021_1,numeric__Tại ngày 31/12/2021,numeric__Tại ngày 31/12/2021_1,numeric__Tại ngày 01/01/2021,numeric__Tại ngày 01/01/2021_1
,,,VND,VND,VND,VND,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,27.204.435.200,-,11.515.440.000,-,27204435200.0,,11515440000.0,
Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm mục 7,Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm mục 7,Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm mục 7,93.062.403.717,-,-,-,93062403717.0,,,
Phải thu khác từ bên liên quan - Xem thêm mục 7,Phải thu khác từ bên liên quan - Xem thêm mục 7,Phải thu khác từ bên liên quan - Xem thêm mục 7,1.031.515.500,-,1.025.539.734,-,1031515500.0,,1025539734.0,
Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,20.591.714.000,-,22.157.620.000,-,20591714000.0,,22157620000.0,
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,474.300.000,-,1.106.700.000,-,474300000.0,,1106700000.0,
Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ Đá Xuân Hòa,Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ Đá Xuân Hòa,Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ Đá Xuân Hòa,2.575.197.600,-,1.549.832.164,-,2575197600.0,,1549832164.0,
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,42.000.000,-,49.000.000,-,42000000.0,,49000000.0,
"Ký quỹ, ký cước","Ký quỹ, ký cước","Ký quỹ, ký cước",-,-,25.000.000.000,,,,25000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,996.726.138,-,1.247.687.582,-,996726138.0,,1247687582.0,
Cộng,Cộng,Cộng,145.978.292.155,-,63.651.819.480,,145978292155.0,,63651819480.0,
