row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.765.000.000.000,(90.100.000),40.924.673.476,234.543.224.703,4.040.377.798.179,3765000000000.0,-90100000.0,40924673476.0,234543224703.0,4040377798179.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,418.944.170.834,418.944.170.834,,,,418944170834.0,418944170834.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.267.932.000,(3.267.932.000),-,,,3267932000.0,-3267932000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(3.355.019.000),(3.355.019.000),,,,-3355019000.0,-3355019000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(188.245.900.000),(188.245.900.000),,,,-188245900000.0,-188245900000.0
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,3.765.000.000.000,(90.100.000),44.192.605.476,458.618.544.537,4.267.721.050.013,3765000000000.0,-90100000.0,44192605476.0,458618544537.0,4267721050013.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,419.298.871.402,419.298.871.402,,,,419298871402.0,419298871402.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,20.941.835.182,(20.941.835.182),-,,,20941835182.0,-20941835182.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(8.980.854.536),(8.980.854.536),,,,-8980854536.0,-8980854536.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(376.491.800.000),(376.491.800.000),,,,-376491800000.0,-376491800000.0
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.765.000.000.000,(90.100.000),65.134.440.658,471.502.926.221,4.301.547.266.879,3765000000000.0,-90100000.0,65134440658.0,471502926221.0,4301547266879.0
