row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021 > Giá gốc,Tại ngày 31/12/2021 > Giá trị ghi sổ,Đvt: Ngàn đồngTại ngày 01/01/2021 > Giá gốc,Đvt: Ngàn đồngTại ngày 01/01/2021 > Giá trị ghi sổ,numeric__Tại ngày 31/12/2021 > Giá gốc,numeric__Tại ngày 31/12/2021 > Giá trị ghi sổ,numeric__Đvt: Ngàn đồngTại ngày 01/01/2021 > Giá gốc,numeric__Đvt: Ngàn đồngTại ngày 01/01/2021 > Giá trị ghi sổ
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Tiền gửi có kỳ hạn gốc dưới 12 tháng,Ngắn hạn: > Tiền gửi có kỳ hạn gốc dưới 12 tháng,Tiền gửi có kỳ hạn gốc dưới 12 tháng,781.295.000,781.295.000,957.895.000,957.895.000,781295000.0,781295000.0,957895000.0,957895000.0
(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),,,,
