row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2021,Năm 2020,numeric__Mã số,numeric__TM,numeric__Năm 2021,numeric__Năm 2020
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,442.491.900.344,441.282.787.133,1.0,,442491900344.0,441282787133.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSDĐT,2. Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,5.6,4.022.562.548,3.777.981.215,2.0,56.0,4022562548.0,3777981215.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,7.423.213.228,(3.170.872.883),3.0,,7423213228.0,-3170872883.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",04,,296.223,33.202,4.0,,296223.0,33202.0
"Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(379.971.930.146),(398.714.587.246),5.0,,-379971930146.0,-398714587246.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,5.4,359.671.233,199.890.028,6.0,54.0,359671233.0,199890028.0
3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đôi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đôi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đôi vốn lưu động,08,,74.325.713.430,43.375.231.449,8.0,,74325713430.0,43375231449.0
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,(75.192.635.181),(10.797.437.483),9.0,,-75192635181.0,-10797437483.0
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,98.685.550,(518.677.990),10.0,,98685550.0,-518677990.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)",11,,5.775.162.664,(10.528.830.481),11.0,,5775162664.0,-10528830481.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,57.311.004.633,64.723.565.483,12.0,,57311004633.0,64723565483.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(359.671.233),(199.890.028),14.0,,-359671233.0,-199890028.0
Tiền thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Tiền thuế thu nhập doanh nghiệp đã nộp,Tiền thuế thu nhập doanh nghiệp đã nộp,15,4.14,(26.214.584.291),(26.107.468.678),15.0,414.0,-26214584291.0,-26107468678.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,11.920.000,39.800.000,16.0,,11920000.0,39800000.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(6.929.470.376),(4.635.945.300),17.0,,-6929470376.0,-4635945300.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,28.826.125.196,55.350.346.972,20.0,,28826125196.0,55350346972.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",21,,(7.591.266.043),(23.697.187.953),21.0,,-7591266043.0,-23697187953.0
"2. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác","2. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác",23,,(1.137.088.000.000),(1.811.995.000.000),23.0,,-1137088000000.0,-1811995000000.0
"3. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác","3. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác",24,,1.313.688.000.000,1.754.933.000.000,24.0,,1313688000000.0,1754933000000.0
4. Tiền chi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền chi đầu tư góp vốn vào đơn vị khác,4. Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(192.977.300.000),(178.870.000.000),25.0,,-192977300000.0,-178870000000.0
