row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021VND > Giá gốc,Tại ngày 31/12/2021VND > Giá trị hợp lý,Tại ngày 31/12/2021VND > Dự phòng,Tại ngày 01/01/2021VND > Giá gốc,Tại ngày 01/01/2021VND > Giá trị hợp lý,Tại ngày 01/01/2021VND > Dự phòng,numeric__Tại ngày 31/12/2021VND > Giá gốc,numeric__Tại ngày 31/12/2021VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2021VND > Dự phòng,numeric__Tại ngày 01/01/2021VND > Giá gốc,numeric__Tại ngày 01/01/2021VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2021VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Cấp nước Đồng Nai,Công ty Cổ phần > Cấp nước Đồng Nai,Cấp nước Đồng Nai,849.100.146.787,1.996.459.920.000,-,657.132.846.787,1.420.558.020.000,-,849100146787.0,1996459920000.0,,657132846787.0,1420558020000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Căng Đồng Nai,Công ty Cổ phần > Căng Đồng Nai,Căng Đồng Nai,242.452.980.000,879.443.082.000,-,242.452.980.000,727.358.940.000,-,242452980000.0,879443082000.0,,242452980000.0,727358940000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Thành,Công ty Cổ phần > Sonadezi Long Thành,Sonadezi Long Thành,201.688.600.000,666.493.800.000,-,201.688.600.000,557.971.000.000,-,201688600000.0,666493800000.0,,201688600000.0,557971000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần > Phát triển Đô thị Công nghiệp Số 2,Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,1.046.789.352.000,-,200.655.000.000,1.090.624.752.000,-,200655000000.0,1046789352000.0,,200655000000.0,1090624752000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Môi trường Sonadezi,Công ty Cổ phần > Môi trường Sonadezi,Môi trường Sonadezi,197.027.735.730,288.192.690.000,-,197.027.735.730,278.586.267.000,-,197027735730.0,288192690000.0,,197027735730.0,278586267000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần > Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,138.580.200.000,-,53.838.407.700,109.940.292.000,-,53838407700.0,138580200000.0,,53838407700.0,109940292000.0,
Cộng,Công ty Cổ phần > Cộng,Cộng,1.744.762.870.217,,-,1.552.795.570.217,,-,1744762870217.0,,,1552795570217.0,,
