row_label_raw,row_label_full,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ vốn góp,numeric__Tên,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ vốn góp
Công ty con trực tiếp:,Công ty con trực tiếp:,Công ty con trực tiếp:,Công ty con trực tiếp:,Công ty con trực tiếp:,Công ty con trực tiếp:,Công ty con trực tiếp:,,,,
1.,Công ty con trực tiếp: > 1.,1.,Công ty Cổ phầnCấp nước Đồng Nai,"48 Cách Mạng Thắng Tám, P. Quyết Thắng, TP. Biên Hòa, Tĩnh Đồng Nai",Khai thác nước sạch,"63,99%",,,,0.6399
2.,Công ty con trực tiếp: > 2.,2.,Công ty Cổ phần Phát triểnĐô thị Công nghiệp Số 2,"H22, Đường Võ Thị Sáu, P. Thống Nhất, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","57,86%",,,,0.5786
3.,Công ty con trực tiếp: > 3.,3.,Công ty Cổ phần Đầu tưXây dựng và Vật liệu Đồng Nai,"Số 138, Đường Nguyễn Ái Quốc, Khu phố 1, P. Trăng Dải, TP. Biên Hoà, Tĩnh Đồng Nai",Sản xuất công nghiệp và dịch vụ,"52,29%",,,,0.5229
4.,Công ty con trực tiếp: > 4.,4.,Công ty Cổ phầnCăng Đồng Nai,"1B-D3, KP Bình Dương, P. Long Bình Tân, TP. Biên Hòa, Tĩnh Đồng Nai",Kinh doanh dịch vụ cảng biển,"51,00%",,,,0.51
5.,Công ty con trực tiếp: > 5.,5.,Công ty Cổ phầnSonadezi Long Thành,"Đường 5, KCN Long Thành, Xã Tam An, Huyện Long Thành, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","51,19%",,,,0.5119
6.,Công ty con trực tiếp: > 6.,6.,Công ty Cổ phầnMôi trường Sonadezi,"Số 12, Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Tĩnh Đồng Nai",Dịch vụ đô thị môi trường,"64,04%",,,,0.6404000000000001
Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,,,,
1.,Công ty con gián tiếp: > 1.,1.,Công ty Cổ phầnSonadezi An Bình,"Số 113 -116, Lô C2, Đường 9, KDC An Bình, TP. Biên Hoà, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp, xây dựng công trình","37,95%",,,,0.3795
2.,Công ty con gián tiếp: > 2.,2.,Công ty Cổ phầnDịch vụ Sonadezi,"Tầng 8, Số 1, Đường 1, KCN Biên Hòa 1, Phường An Bình,TP. Biên Hòa, Tĩnh Đồng Nai","Xử lý nước thải, chất thải nguy hại và không nguy hại","20,00%",,,,0.2
3.,Công ty con gián tiếp: > 3.,3.,Công ty Cổ phầnSonadezi Châu Đức,"Tầng 9, Số 1, Đường 1, KCN Biên Hòa 1, Phường An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư hạ tầng khu công nghiệp, cụm công nghiệp, khu dân cư","46,84%",,,,0.46840000000000004
4.,Công ty con gián tiếp: > 4.,4.,Công ty Cổ phầnSonadezi Long Bình,"Số 1, Đường 3A, KCN Biên Hòa 2, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","46,22%",,,,0.4622
5.,Công ty con gián tiếp: > 5.,5.,Công ty Cổ phầnSoandezi Bình Thuận,"443 Khu phố 1, Thị trấn Tân Minh, Huyện Hàm Tân, Tĩnh Bình Thuận","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê","42,00%",,,,0.42
6.,Công ty con gián tiếp: > 6.,6.,Công ty Cổ phầnSonadezi Giang Điền,"Tầng 1, Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp","46,45%",,,,0.4645
