row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021VND > Giá gốc,Tại ngày 31/12/2021VND > Giá trị hợp lý,Tại ngày 31/12/2021VND > Dự phòng,Tại ngày 01/01/2021VND > Giá gốc,Tại ngày 01/01/2021VND > Giá trị hợp lý,Tại ngày 01/01/2021VND > Dự phòng,numeric__Tại ngày 31/12/2021VND > Giá gốc,numeric__Tại ngày 31/12/2021VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2021VND > Dự phòng,numeric__Tại ngày 01/01/2021VND > Giá gốc,numeric__Tại ngày 01/01/2021VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2021VND > Dự phòng
Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,,,,,,
Công ty Cổ phầnSonadezi Châu Đức,Đầu tư vào công ty liên kết: > Công ty Cổ phầnSonadezi Châu Đức,Công ty Cổ phầnSonadezi Châu Đức,488.352.527.264,3.185.120.000.000,-,488.352.527.264,1.498.880.000.000,-,488352527264.0,3185120000000.0,,488352527264.0,1498880000000.0,
Công ty Cổ phầnSonadezi Giang Điền,Đầu tư vào công ty liên kết: > Công ty Cổ phầnSonadezi Giang Điền,Công ty Cổ phầnSonadezi Giang Điền,255.000.000.000,634.950.000.000,-,255.000.000.000,(*),-,255000000000.0,634950000000.0,,255000000000.0,,
Công ty Cổ phầnSonadezi Long Bình,Đầu tư vào công ty liên kết: > Công ty Cổ phầnSonadezi Long Bình,Công ty Cổ phầnSonadezi Long Bình,172.866.022.000,470.091.300.000,-,172.866.022.000,471.478.000.000,-,172866022000.0,470091300000.0,,172866022000.0,471478000000.0,
Công ty Cổ phầnSonadezi Bình Thuận,Đầu tư vào công ty liên kết: > Công ty Cổ phầnSonadezi Bình Thuận,Công ty Cổ phầnSonadezi Bình Thuận,168.000.000.000,(*),-,168.000.000.000,(*),-,168000000000.0,,,168000000000.0,,
Công ty Cổ phần Đầu tưQuốc lô 91 Cần Thơ - An Giang,Đầu tư vào công ty liên kết: > Công ty Cổ phần Đầu tưQuốc lô 91 Cần Thơ - An Giang,Công ty Cổ phần Đầu tưQuốc lô 91 Cần Thơ - An Giang,112.000.000.000,(*),-,112.000.000.000,(*),-,112000000000.0,,,112000000000.0,,
Trường Cao đẳng Công nghệvà Quản trị Sonadezi,Đầu tư vào công ty liên kết: > Trường Cao đẳng Công nghệvà Quản trị Sonadezi,Trường Cao đẳng Công nghệvà Quản trị Sonadezi,33.436.575.595,(*),-,33.436.575.595,(*),-,33436575595.0,,,33436575595.0,,
Công ty Cổ phầnSonadezi An Bình,Đầu tư vào công ty liên kết: > Công ty Cổ phầnSonadezi An Bình,Công ty Cổ phầnSonadezi An Bình,29.841.520.005,(*),-,29.841.520.005,(*),-,29841520005.0,,,29841520005.0,,
Công ty Cổ phầnKinh doanh nhà Đồng Nai,Đầu tư vào công ty liên kết: > Công ty Cổ phầnKinh doanh nhà Đồng Nai,Công ty Cổ phầnKinh doanh nhà Đồng Nai,21.578.551.008,(*),-,21.578.551.008,(*),-,21578551008.0,,,21578551008.0,,
Công ty Cổ phần Dịch vụ Sonadezi,Đầu tư vào công ty liên kết: > Công ty Cổ phần Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi,12.600.000.000,28.300.000.000,-,12.600.000.000,21.000.000.000,-,12600000000.0,28300000000.0,,12600000000.0,21000000000.0,
Công ty Cổ phầnXây dựng Đồng Nai,Đầu tư vào công ty liên kết: > Công ty Cổ phầnXây dựng Đồng Nai,Công ty Cổ phầnXây dựng Đồng Nai,10.886.379.679,(*),-,11.651.533.280,(*),-,10886379679.0,,,11651533280.0,,
Công ty Cổ phần Sơn Đồng Nai,Đầu tư vào công ty liên kết: > Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai,10.295.294.400,18.540.640.800,-,10.295.294.400,13.575.211.200,-,10295294400.0,18540640800.0,,10295294400.0,13575211200.0,
Công ty Cổ phần Xây dựng Đândụng Công nghiệp Số 1 - Đồng Nai,Đầu tư vào công ty liên kết: > Công ty Cổ phần Xây dựng Đândụng Công nghiệp Số 1 - Đồng Nai,Công ty Cổ phần Xây dựng Đândụng Công nghiệp Số 1 - Đồng Nai,-,-,-,7.489.690.056,(*),-,,,,7489690056.0,,
Cộng,Đầu tư vào công ty liên kết: > Cộng,Cộng,1.314.856.869.951,,-,1.323.111.713.608,,-,1314856869951.0,,,1323111713608.0,,
