row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền đãnVND","Thiết bị,dụng cụquản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền đãnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2021,Nguyên giá: > Tại ngày 01/01/2021,Tại ngày 01/01/2021,3.646.591.259,7.307.357.943,2.517.269.000,13.471.218.202,3646591259.0,7307357943.0,2517269000.0,13471218202.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,407.806.363,407.806.363,,,407806363.0,407806363.0
Tại ngày 31/12/2021,Nguyên giá: > Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.646.591.259,7.307.357.943,2.925.075.363,13.879.024.565,3646591259.0,7307357943.0,2925075363.0,13879024565.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2021,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2021,Tại ngày 01/01/2021,3.646.591.259,4.244.263.241,1.394.750.973,9.285.605.473,3646591259.0,4244263241.0,1394750973.0,9285605473.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,608.870.672,396.205.777,1.005.076.449,,608870672.0,396205777.0,1005076449.0
Tại ngày 31/12/2021,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.646.591.259,4.853.133.913,1.790.956.750,10.290.681.922,3646591259.0,4853133913.0,1790956750.0,10290681922.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2021,Giá trị còn lại: > Tại ngày 01/01/2021,Tại ngày 01/01/2021,-,3.063.094.702,1.122.518.027,4.185.612.729,,3063094702.0,1122518027.0,4185612729.0
Tại ngày 31/12/2021,Giá trị còn lại: > Tại ngày 31/12/2021,Tại ngày 31/12/2021,-,2.454.224.030,1.134.118.613,3.588.342.643,,2454224030.0,1134118613.0,3588342643.0
