row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mòn (bao gồmphân bổ lợi thế thương mại)170.093.161.1663.755.303969.016.977Các khoản dự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệLỗ từ hoạt động đầu tưChi phí lãi vay2935.408.48112.034.349Chỉ phí lãi vay29899.740.741238.622.330,Thuyết minh > (2.375.087.563),Năm nay > (625.763.066),Năm trước,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mòn (bao gồmphân bổ lợi thế thương mại)170.093.161.1663.755.303969.016.977Các khoản dự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệLỗ từ hoạt động đầu tưChi phí lãi vay2935.408.48112.034.349Chỉ phí lãi vay29899.740.741238.622.330,numeric__Thuyết minh > (2.375.087.563),numeric__Năm nay > (625.763.066),numeric__Năm trước
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
09,09,09,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
10,10,10,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
11,11,11,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
12,12,12,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
14,14,14,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
15,15,15,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoGiảm các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,29228.233.87490.190.191(1.141.092.565)(635.830.855)(40.704.771(474.180.409)(11.069.339)(498.858.220)(3.881.946),1.248.980.675(631.488.764)(705.973.160)(597.517.270)(474.472.323)(498.858.220)(3.881.946),,,,,
20,15 > 20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,32.1(1.903.044.332),(1.663.211.008),,,,-1663211008.0,
,,,"II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm và xây dựngtài sản cố địnhTiền thu do thanh lý, nhượng bántài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vàođơn vị khácTiền thu hồi đầu tư góp vốn vàocác đơn vị khácTiền thu hồi đầu tư góp vốn vàocác công ty conTiền thu lãi cho vay và lãi tiền gửi",(2.925.449.697)4.289.614-73.000.000-,(1.725.402.752)218.763.013(96.265.018)260.397.662(7.783.830),,,,,
21,21,21,"II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm và xây dựngtài sản cố địnhTiền thu do thanh lý, nhượng bántài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vàođơn vị khácTiền thu hồi đầu tư góp vốn vàocác đơn vị khácTiền thu hồi đầu tư góp vốn vàocác công ty conTiền thu lãi cho vay và lãi tiền gửi",(2.925.449.697)4.289.614-73.000.000-,(1.725.402.752)218.763.013(96.265.018)260.397.662(7.783.830),,,,,
