row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải, truyền dẫn",Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Vật nuôi,Thiết bịvăn phòng,Tài sản khác,Ngàn VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải, truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Vật nuôi,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,7.028.402.028,2.234.884.094,1.410.213.351,420.298.150,13.220.831,1.959.847,15.313.665,11.124.291.966,7028402028.0,2234884094.0,1410213351.0,420298150.0,13220831.0,1959847.0,15313665.0,11124291966.0
Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Chuyển từ xây dựng cơ bảnđở dang hoàn thành,2.152.352.731,291.943.520,422.934.307,23.335.932,-,-,4.065.627,2.894.632.117,2152352731.0,291943520.0,422934307.0,23335932.0,,,4065627.0,2894632117.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,70.424.872,3.388.887,74.731.337,-,2.687.907,5.092.280,156.325.283,,70424872.0,3388887.0,74731337.0,,2687907.0,5092280.0,156325283.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,-,(5.017.468),(2.419.057),-,-,-,(7.436.525),,,-5017468.0,-2419057.0,,,,-7436525.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(1.368.893.077),(497.446.205),(195.243.813),(22.834.904),-,(161.339),(4.145.465),(2.088.724.803),-1368893077.0,-497446205.0,-195243813.0,-22834904.0,,-161339.0,-4145465.0,-2088724803.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.045.748.566),(5.524.776),(162.532.265),(21.736.952),(13.220.831),(173.614),(42.209),(1.248.979.213),-1045748566.0,-5524776.0,-162532265.0,-21736952.0,-13220831.0,-173614.0,-42209.0,-1248979213.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(242.948.800),(61.623.783),(38.067.945),(10.058.501),-,(46.372),(437.575),(353.182.976),-242948800.0,-61623783.0,-38067945.0,-10058501.0,,-46372.0,-437575.0,-353182976.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.523.164.316,2.032.657.722,1.435.675.054,461.316.005,-,4.266.429,19.846.323,10.476.925.849,6523164316.0,2032657722.0,1435675054.0,461316005.0,,4266429.0,19846323.0,10476925849.0
Trong đó:Dã khấu hao hết,Nguyên giá > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,88.614.885,137.162.696,38.457.453,-,826.412,2.293.477,267.354.923,,88614885.0,137162696.0,38457453.0,,826412.0,2293477.0,267354923.0
