row_label_raw,row_label_full,col_0,Chương trình phần mềm,Quyền sử dụng đất,Ngàn VND Tổng cộng,numeric__Chương trình phần mềm,numeric__Quyền sử dụng đất,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,48.197.185,6.648.075,54.845.260,48197185.0,6648075.0,54845260.0
Xóa số tài sản,Nguyên giá > Xóa số tài sản,Xóa số tài sản,(47.863.975),-,(47.863.975),-47863975.0,,-47863975.0
Xóa số tài sản đã hao mòn hết,Nguyên giá > Xóa số tài sản đã hao mòn hết,Xóa số tài sản đã hao mòn hết,(333.210),-,(333.210),-333210.0,,-333210.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,6.648.075,6.648.075,,6648075.0,6648075.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,(29.749.612),(1.246.513),(30.996.125),-29749612.0,-1246513.0,-30996125.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(5.982.996),(332.405),(6.315.401),-5982996.0,-332405.0,-6315401.0
Xóa số tài sản,Hao mòn lũy kế > Xóa số tài sản,Xóa số tài sản,35.399.398,-,35.399.398,35399398.0,,35399398.0
Xóa số tài sản đã hao mòn hết,Hao mòn lũy kế > Xóa số tài sản đã hao mòn hết,Xóa số tài sản đã hao mòn hết,333.210,-,333.210,333210.0,,333210.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(1.578.918),(1.578.918),,-1578918.0,-1578918.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,18.447.573,5.401.562,23.849.135,18447573.0,5401562.0,23849135.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,5.069.157,5.069.157,,5069157.0,5069157.0
