row_label_raw,row_label_full,col_0,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_1,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_2,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_3,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_4,Ngàn VND,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_1,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_2,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_3,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_4,numeric__Ngàn VND
,,,Cao su Trung Nguyên,Đông Pênh,An Đông Mia,Cao su Đông Dương,Bò sữa Tây Nguyên,Tổng cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.667.823.198,611.353.527,565.417.677,168.887.099,72.228.357,4.085.709.858,2667823198.0,611353527.0,565417677.0,168887099.0,72228357.0,4085709858.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(2.667.823.198),(611.353.527),-,(168.887.099),-,(3.448.063.824),-2667823198.0,-611353527.0,,-168887099.0,,-3448063824.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,-,565.417.677,-,72.228.357,637.646.034,,,565417677.0,,72228357.0,637646034.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,,,,
Số đầu năm,Phân bổ lũy kế > Số đầu năm,Số đầu năm,(555.796.500),(191.532.985),(175.011.872),(47.851.345),(26.483.732),(996.676.434),-555796500.0,-191532985.0,-175011872.0,-47851345.0,-26483732.0,-996676434.0
Phân bổ trong năm,Phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(177.854.880),(35.662.289),(56.541.768),(8.444.355),(7.222.836),(285.726.128),-177854880.0,-35662289.0,-56541768.0,-8444355.0,-7222836.0,-285726128.0
Thanh lý trong năm,Phân bổ lũy kế > Thanh lý trong năm,Thanh lý trong năm,733.651.380,227.195.274,-,56.295.700,-,1.017.142.354,733651380.0,227195274.0,,56295700.0,,1017142354.0
Số cuối năm,Phân bổ lũy kế > Số cuối năm,Số cuối năm,-,-,(231.553.640),-,(33.706.568),(265.260.208),,,-231553640.0,,-33706568.0,-265260208.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.112.026.698,419.820.542,390.405.805,121.035.754,45.744.625,3.089.033.424,2112026698.0,419820542.0,390405805.0,121035754.0,45744625.0,3089033424.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,-,333.864.037,-,38.521.789,372.385.826,,,333864037.0,,38521789.0,372385826.0
