row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,5.878.906.539,9.551.092.730,15.429.999.269,5878906539.0,9551092730.0,15429999269.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,3.997.189.408,1.153.669.798,5.150.859.206,3997189408.0,1153669798.0,5150859206.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,(4.041.139.596),(3.843.108.140),(7.884.247.736),-4041139596.0,-3843108140.0,-7884247736.0
Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM 23.1),Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM 23.1),Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM 23.1),(2.217.100.000),-,(2.217.100.000),-2217100000.0,,-2217100000.0
Giảm do thanh lý các công ty con,Giảm do thanh lý các công ty con,Giảm do thanh lý các công ty con,(141.310.000),(463.590.000),(604.900.000),-141310000.0,-463590000.0,-604900000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.107.320.286,(1.107.320.286),-,1107320286.0,-1107320286.0,
Giá trị phân bổ phần giá trị chiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ phần giá trị chiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ phần giá trị chiết khấu của trái phiếu chuyển đổi,63.634.964,-,63.634.964,63634964.0,,63634964.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,252.333,109.398,361.731,252333.0,109398.0,361731.0
Cấn trừ với khoản phải thu,Cấn trừ với khoản phải thu,Cấn trừ với khoản phải thu,-,(715.195.559),(715.195.559),,-715195559.0,-715195559.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,6.817.165,(25.631.145),(18.813.980),6817165.0,-25631145.0,-18813980.0
Số cuối năm,Số cuối năm,Số cuối năm,4.654.571.099,4.550.026.796,9.204.597.895,4654571099.0,4550026796.0,9204597895.0
