row_label_raw,row_label_full,col_0,Trồng cây,Chăn nuôi,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Trồng cây,numeric__Chăn nuôi,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,1.626.044.667,-,184.730.363,-,1.810.775.030,1626044667.0,,184730363.0,,1810775030.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,1.197.808.050,-,723.564.640,(1.921.372.690),-,1197808050.0,,723564640.0,-1921372690.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,2.823.852.717,-,908.295.003,(1.921.372.690),1.810.775.030,2823852717.0,,908295003.0,-1921372690.0,1810775030.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,1.375.634.748,-,758.901.298,(1.921.372.690),213.163.356,1375634748.0,,758901298.0,-1921372690.0,213163356.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(2.178.020.969),,,,,-2178020969.0
"Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu","Lỗ trước thuế, doanh thu",,,,,
tài chính và chi phí tài chính,"Lỗ trước thuế, doanh thu > tài chính và chi phí tài chính",tài chính và chi phí tài chính,,,,,(1.964.857.613),,,,,-1964857613.0
