row_label_raw,row_label_full,Ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất %/năm,"Tài sản thế chấp (TM số 10, 11 và 13)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất %/năm,"numeric__Tài sản thế chấp (TM số 10, 11 và 13)"
"Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia",,,,,,
Khoản vay ngày 16 tháng 6 năm 2016,"Sacombank, Chi nhánh Campuchia > Khoản vay ngày 16 tháng 6 năm 2016",Khoản vay ngày 16 tháng 6 năm 2016,40.633.998,-,1.714.286,Từ ngày 21 tháng 6 năm 2020 đến ngày 21 tháng 6 năm 2021,"9,00","Quyền sử dụng đất: Dự án tại số 1 tại Xã Talao, Huyện Ouchum, Tĩnh Ratanakiri, Campuchia và Dự án số 2 tại Xã Nhang, Huyện Andong Meas, Tĩnh Ratanakiri, Campuchia, thuộc sở hữu của Hoàng Anh Oyadav.",40633998.0,,1714286.0,,9.0,
TỔNG CỘNG,"Sacombank, Chi nhánh Campuchia > TỔNG CỘNG",TỔNG CỘNG,553.088.603,,,,,,553088603.0,,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,525.999.272,,,,,,525999272.0,,,,,
Vay dài hạnđến hạn trả,Trong đó: > Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,27.089.331,,,,,,27089331.0,,,,,
