row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),,,,
Daun Penh,Phải trả dài hạn khác (TM số 22) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,(20.975.330),-,,,-20975330.0,
Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Phải trả dài hạn khác (TM số 22) > Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Mượn tiền,(5.000.000),-,,,-5000000.0,
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 22) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Hợp tác kinh doanh,-,(550.000.000),,,,-550000000.0
HAG,Phải trả dài hạn khác (TM số 22) > HAG,HAG,Công ty mẹ,Mượn tiền,-,(78.933.111),,,,-78933111.0
,,,,,(25.975.330),(628.933.111),,,-25975330.0,-628933111.0
Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),Vay ngắn hạn (TM số 23.1 và 23.3),,,,
HAG,Vay ngắn hạn (TM số 23.1 và 23.3) > HAG,HAG,Công ty mẹ,Vay ngắn hạn,(1.878.507.456),(983.468.000),,,-1878507456.0,-983468000.0
THACO,Vay ngắn hạn (TM số 23.1 và 23.3) > THACO,THACO,Công ty có cùng thành viên HĐQT,Trái phiếu chuyển đổi Vay ngắn hạn,-,(2.216.880.000),,,,-2216880000.0
THACO,Vay ngắn hạn (TM số 23.1 và 23.3) > THACO,THACO,Công ty có cùng thành viên HĐQT,Trái phiếu chuyển đổi Vay ngắn hạn,(897.464.625),(746.132.000),,,-897464625.0,-746132000.0
Bà Kiều Ngọc Hoa,Vay ngắn hạn (TM số 23.1 và 23.3) > Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Cổ đông,Vay ngắn hạn,(50.000.000),-,,,-50000000.0,
,,,,,(2.825.972.081),(3.946.480.000),,,-2825972081.0,-3946480000.0
Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),Vay dài hạn (TM số 23.5),,,,
HAG,Vay dài hạn (TM số 23.5) > HAG,HAG,Công ty mẹ,Vay dài hạn,(649.106.397),(3.679.224.832),,,-649106397.0,-3679224832.0
THACO,Vay dài hạn (TM số 23.5) > THACO,THACO,Công ty có cùng thành viên HĐQT,Vay dài hạn,(805.260.834),-,,,-805260834.0,
,,,,,(1.454.367.231),(3.679.224.832),,,-1454367231.0,-3679224832.0
