row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),,,,
Thadi,Phải trả người bán ngắn hạn (TM số 18) > Thadi,Thadi,Công ty con của công ty có cùng thành viên HĐQT,Mua vật tư và dịch vụ,(207.569.778),-,,,-207569778.0,
Daun Penh,Phải trả người bán ngắn hạn (TM số 18) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,(91.845.863),-,,,-91845863.0,
Bình Phước Karatie,Phải trả người bán ngắn hạn (TM số 18) > Bình Phước Karatie,Bình Phước Karatie,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,(73.677.590),-,,,-73677590.0,
HAG,Phải trả người bán ngắn hạn (TM số 18) > HAG,HAG,Công ty mẹ,Mua hàng hóa và dịch vụ,(64.288.041),(62.246.015),,,-64288041.0,-62246015.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mua vật tư,(42.390.542),-,,,-42390542.0,
Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 18) > Thaco Chu Lai,Thaco Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,(18.934.507),-,,,-18934507.0,
Vận tải Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 18) > Vận tải Thaco Chu Lai,Vận tải Thaco Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,(14.561.396),-,,,-14561396.0,
Máy Nông nghiệp Thaco,Phải trả người bán ngắn hạn (TM số 18) > Máy Nông nghiệp Thaco,Máy Nông nghiệp Thaco,Công ty con của công ty có cùng thành viên HĐQT,Mua máy móc,(6.080.000),-,,,-6080000.0,
Công Ty TNHH Phân Phối Ô Tô Tài - Bus Trường Hải,Phải trả người bán ngắn hạn (TM số 18) > Công Ty TNHH Phân Phối Ô Tô Tài - Bus Trường Hải,Công Ty TNHH Phân Phối Ô Tô Tài - Bus Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,(1.994.000),-,,,-1994000.0,
Khác,Phải trả người bán ngắn hạn (TM số 18) > Khác,Khác,Công ty liên quan,Mua hàng hóa,(629.818),(101.578),,,-629818.0,-101578.0
,,,,,(521.971.535),(62.347.593),,,-521971535.0,-62347593.0
