row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Chênh lệch tỷ giá hối đoái,Lợi nhuận sau thuế chưa phân phối /(lỗ lũy kế),Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận sau thuế chưa phân phối /(lỗ lũy kế),numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,-,454.592.390,911.299.891,10.101.882.041,7671438950.0,1064550810.0,,454592390.0,911299891.0,10101882041.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,1.197.000.000,-,-,-,-,1.197.000.000,1197000000.0,,,,,1197000000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(659.149.758),(659.149.758),,,,,-659149758.0,-659149758.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Năm trước > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,-,-,-,-,(148.694.971),(148.694.971),,,,,-148694971.0,-148694971.0
Phát hành trái phiếu chuyển đổi,Năm trước > Phát hành trái phiếu chuyển đổi,Phát hành trái phiếu chuyển đổi,-,-,105.576.190,-,-,105.576.190,,,105576190.0,,,105576190.0
"Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT","Năm trước > Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT","Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT",-,-,-,-,(810.000),(810.000),,,,,-810000.0,-810000.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,50.769.413,-,50.769.413,,,,50769413.0,,50769413.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,8.868.438.950,1.064.550.810,105.576.190,505.361.803,102.645.162,10.646.572.915,8868438950.0,1064550810.0,105576190.0,505361803.0,102645162.0,10646572915.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,8.868.438.950,1.064.550.810,105.576.190,505.361.803,102.645.162,10.646.572.915,8868438950.0,1064550810.0,105576190.0,505361803.0,102645162.0,10646572915.0
Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM số 23.1),Năm nay > Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM số 23.1),Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông (TM số 23.1),2.217.100.000,105.576.190,(105.576.190),-,-,2.217.100.000,2217100000.0,105576190.0,-105576190.0,,,2217100000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(2.425.918.207),(2.425.918.207),,,,,-2425918207.0,-2425918207.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.1 và 4.2),Năm nay > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.1 và 4.2),Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.1 và 4.2),-,-,-,-,1.075.096,1.075.096,,,,,1075096.0,1075096.0
"Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT","Năm nay > Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT","Chia thủ lao cho HĐQT, BKS và Ban thư ký HĐQT",-,-,-,-,(1.561.000),(1.561.000),,,,,-1561000.0,-1561000.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(470.370.136),-,(470.370.136),,,,-470370136.0,,-470370136.0
Thanh lý các công ty con,Năm nay > Thanh lý các công ty con,Thanh lý các công ty con,-,-,-,(238.480.584),-,(238.480.584),,,,-238480584.0,,-238480584.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,-,(203.488.917),(2.323.758.949),9.728.418.084,11085538950.0,1170127000.0,,-203488917.0,-2323758949.0,9728418084.0
