row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),Chi phí phải trả ngắn hạn (TM số 21),,,,
HAG,Chi phí phải trả ngắn hạn (TM số 21) > HAG,HAG,Công ty mẹ,Chi phí lãi vay,(27.191.064),(77.623.144),,,-27191064.0,-77623144.0
THACO,Chi phí phải trả ngắn hạn (TM số 21) > THACO,THACO,Công ty có cùng thành viên HĐQT,Chi phí lãi vay,(5.172.794),(6.259.160),,,-5172794.0,-6259160.0
Bà Kiều Ngọc Hoa,Chi phí phải trả ngắn hạn (TM số 21) > Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Cổ đông,Chi phí lãi vay,(958.904),-,,,-958904.0,
,,,,,(33.322.762),(83.882.304),,,-33322762.0,-83882304.0
Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),Chi phí phải trả dài hạn (TM số 21),,,,
HAG,Chi phí phải trả dài hạn (TM số 21) > HAG,HAG,Công ty mẹ,Chi phí lãi vay,(154.362.922),(108.965.038),,,-154362922.0,-108965038.0
THACO,Chi phí phải trả dài hạn (TM số 21) > THACO,THACO,Công ty có cùng thành viên HĐQT,Chi phí lãi vay,(4.633.009),-,,,-4633009.0,
,,,,,(158.995.931),(108.965.038),,,-158995931.0,-108965038.0
Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),,,,
HAG,Phải trả ngắn hạn khác (TM số 22) > HAG,HAG,Công ty mẹ,Cán trừ công nợ,(123.024.506),(39.871.191),,,-123024506.0,-39871191.0
Daun Penh,Phải trả ngắn hạn khác (TM số 22) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,(58.541.505),-,,,-58541505.0,
Công ty Cổ phần Lê Me,Phải trả ngắn hạn khác (TM số 22) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Mượn tiền,(11.685.000),(11.685.000),,,-11685000.0,-11685000.0
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 22) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Mượn tiền,-,(136.000.000),,,,-136000000.0
Đại Thắng,Phải trả ngắn hạn khác (TM số 22) > Đại Thắng,Đại Thắng,Công ty trong cùng Tập đoàn,Mượn vật tư,-,(18.475.588),,,,-18475588.0
Khác,Phải trả ngắn hạn khác (TM số 22) > Khác,Khác,Bên liên quan,Khác,(1.484.326),(1.261.001),,,-1484326.0,-1261001.0
,,,,,(194.735.337),(207.292.780),,,-194735337.0,-207292780.0
