row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2015VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2015VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",9.631.553.450,4.209.927.052,9631553450.0,4209927052.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,16.558.679.528,13.221.797.554,16558679528.0,13221797554.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.815.858.168,5.786.603.504,6815858168.0,5786603504.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,12.561.847.739,6.183.803.399,12561847739.0,6183803399.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,9.791.979.131,5.589.214.953,9791979131.0,5589214953.0
Cộng,Cộng,Cộng,55.359.918.016,34.991.346.462,55359918016.0,34991346462.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",802.588.683,30.267.521.911,802588683.0,30267521911.0
Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,2.675.036.151,2.860.379.822,2675036151.0,2860379822.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,4.652.310.545,3.077.015.392,4652310545.0,3077015392.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,30.274.054.041,21.606.650.181,30274054041.0,21606650181.0
Chi phí khác bằng tiền,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,3.771.013.131,5.113.438.809,3771013131.0,5113438809.0
Cộng,Các khoản chi phí bán hàng phát sinh trong năm > Cộng,Cộng,42.175.002.551,62.925.006.115,42175002551.0,62925006115.0
