row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,20.180.997.440,152.885.660,20.333.883.100,20180997440.0,152885660.0,20333883100.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,55.646.428.589,-,55.646.428.589,55646428589.0,,55646428589.0
Giảm theo Thông tư số 45,NGUYÊN GIÁ > Giảm theo Thông tư số 45,Giảm theo Thông tư số 45,-,(13.885.660),(13.885.660),,-13885660.0,-13885660.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,75.827.426.029,139.000.000,75.966.426.029,75827426029.0,139000000.0,75966426029.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2016,HAO MÒN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,2.604.202.304,66.691.214,2.670.893.518,2604202304.0,66691214.0,2670893518.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,635.533.500,35.666.664,671.200.164,635533500.0,35666664.0,671200164.0
Giảm theo Thông tư số 45,HAO MÒN LỦY KẾ > Giảm theo Thông tư số 45,Giảm theo Thông tư số 45,-,(13.885.660),(13.885.660),,-13885660.0,-13885660.0
Tại ngày 31/12/2016,HAO MÒN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,3.239.735.804,88.472.218,3.328.208.022,3239735804.0,88472218.0,3328208022.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,17.576.795.136,86.194.446,17.662.989.582,17576795136.0,86194446.0,17662989582.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,72.587.690.225,50.527.782,72.638.218.007,72587690225.0,50527782.0,72638218007.0
