row_label_raw,row_label_full,Tại 31/12/2016,Dưới 1 nămVND > Tại 31/12/2016,Từ 1-5 nămVND > Tại 31/12/2016,TổngVND > Tại 31/12/2016,numeric__Dưới 1 nămVND > Tại 31/12/2016,numeric__Từ 1-5 nămVND > Tại 31/12/2016,numeric__TổngVND > Tại 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,271.195.540.667,-,271.195.540.667,271195540667.0,,271195540667.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,240.642.418.069,-,240.642.418.069,240642418069.0,,240642418069.0
Cộng,Cộng,Cộng,515.627.169.436,-,515.627.169.436,515627169436.0,,515627169436.0
Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,,,
Phải trả người bán và phải trả khác,Tại 31/12/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,306.433.407.232,-,306.433.407.232,306433407232.0,,306433407232.0
Các khoản vay,Tại 31/12/2016 > Các khoản vay,Các khoản vay,719.337.640.571,827.576.488.038,1.546.914.128.609,719337640571.0,827576488038.0,1546914128609.0
Cộng,Tại 31/12/2016 > Cộng,Cộng,1.025.771.047.803,827.576.488.038,1.853.347.535.841,1025771047803.0,827576488038.0,1853347535841.0
Chênh lệch thanh khoản thuần,Tại 31/12/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(510.143.878.367),(827.576.488.038),(1.337.720.366.405),-510143878367.0,-827576488038.0,-1337720366405.0
,,,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,,,
Tiền và các khoản tương đương tiền,Tại 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,340.135.133.873,-,340.135.133.873,340135133873.0,,340135133873.0
Phải thu khách hàng và phải thu khác,Tại 01/01/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,149.480.922.759,-,149.480.922.759,149480922759.0,,149480922759.0
Các khoản ký quỹ,Tại 01/01/2016 > Các khoản ký quỹ,Các khoản ký quỹ,37.190.398.970,-,37.190.398.970,37190398970.0,,37190398970.0
Cộng,Tại 01/01/2016 > Cộng,Cộng,526.806.455.602,-,526.806.455.602,526806455602.0,,526806455602.0
Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,Tại 01/01/2016,,,
Phải trả người bán và phải trả khác,Tại 01/01/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,199.974.026.265,-,199.974.026.265,199974026265.0,,199974026265.0
Các khoản vay,Tại 01/01/2016 > Các khoản vay,Các khoản vay,408.874.261.711,111.519.006.394,520.393.268.105,408874261711.0,111519006394.0,520393268105.0
Cộng,Tại 01/01/2016 > Cộng,Cộng,608.848.287.976,111.519.006.394,720.367.294.370,608848287976.0,111519006394.0,720367294370.0
Chênh lệch thanh khoản thuần,Tại 01/01/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(82.041.832.374),(111.519.006.394),(193.560.838.768),-82041832374.0,-111519006394.0,-193560838768.0
