row_label_raw,row_label_full,5.7. Tài sản cố định hữu hình,5.7. Tài sản cố định hữu hình_1,5.7. Tài sản cố định hữu hình_2,5.7. Tài sản cố định hữu hình_3,5.7. Tài sản cố định hữu hình_4,5.7. Tài sản cố định hữu hình_5,5.7. Tài sản cố định hữu hình_6,5.7. Tài sản cố định hữu hình_7,numeric__5.7. Tài sản cố định hữu hình_1,numeric__5.7. Tài sản cố định hữu hình_2,numeric__5.7. Tài sản cố định hữu hình_3,numeric__5.7. Tài sản cố định hữu hình_4,numeric__5.7. Tài sản cố định hữu hình_5,numeric__5.7. Tài sản cố định hữu hình_6,numeric__5.7. Tài sản cố định hữu hình_7
,,,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,sức vật làm việc cho sản phẩm VND,Tài sản cố định hữu hình khác VND,Tổng VND,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,126.168.066.886,533.514.186.563,70.166.479.663,2.237.712.418,13.768.983.000,15.424.802.951,761.280.231.481,126168066886.0,533514186563.0,70166479663.0,2237712418.0,13768983000.0,15424802951.0,761280231481.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,233.424.268.603,547.064.015.840,58.677.941.987,3.251.998.141,-,4.520.696.953,846.938.921.524,233424268603.0,547064015840.0,58677941987.0,3251998141.0,,4520696953.0,846938921524.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.756.291.654),(30.941.768.847),-,-,-,(34.698.060.501),,-3756291654.0,-30941768847.0,,,,-34698060501.0
Giảm theo Thông tư số 45,NGUYÊN GIÁ > Giảm theo Thông tư số 45,Giảm theo Thông tư số 45,(61.882.718),(222.599.880),-,(92.840.981),(118.000.000),-,(495.323.579),-61882718.0,-222599880.0,,-92840981.0,-118000000.0,,-495323579.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,359.530.452.771,1.076.599.310.869,97.902.652.803,5.396.869.578,13.650.983.000,19.945.499.904,1.573.025.768.925,359530452771.0,1076599310869.0,97902652803.0,5396869578.0,13650983000.0,19945499904.0,1573025768925.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,29.023.890.566,217.181.898.886,22.692.445.513,1.087.267.023,3.699.322.077,2.631.785.751,276.316.609.816,29023890566.0,217181898886.0,22692445513.0,1087267023.0,3699322077.0,2631785751.0,276316609816.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.660.555.530,58.153.345.175,9.663.921.453,272.234.052,769.093.546,1.398.615.681,78.917.765.437,8660555530.0,58153345175.0,9663921453.0,272234052.0,769093546.0,1398615681.0,78917765437.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.400.637.337),(10.637.326.328),-,-,-,(14.037.963.665),,-3400637337.0,-10637326328.0,,,,-14037963665.0
Giảm theo Thông tư số 45,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm theo Thông tư số 45,Giảm theo Thông tư số 45,(61.882.718),(222.599.880),-,(92.840.981),(69.138.108),-,(446.461.687),-61882718.0,-222599880.0,,-92840981.0,-69138108.0,,-446461687.0
Tại ngày 31/12/2016,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,37.622.563.378,271.712.006.844,21.719.040.638,1.266.660.094,4.399.277.515,4.030.401.432,340.749.949.901,37622563378.0,271712006844.0,21719040638.0,1266660094.0,4399277515.0,4030401432.0,340749949901.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÔN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,97.144.176.320,316.332.287.677,47.474.034.150,1.150.445.395,10.069.660.923,12.793.017.200,484.963.621.665,97144176320.0,316332287677.0,47474034150.0,1150445395.0,10069660923.0,12793017200.0,484963621665.0
Tại ngày 31/12/2016,GIÁ TRỊ CÔN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,321.907.889.393,804.887.304.025,76.183.612.165,4.130.209.484,9.251.705.485,15.915.098.472,1.232.275.819.024,321907889393.0,804887304025.0,76183612165.0,4130209484.0,9251705485.0,15915098472.0,1232275819024.0
