row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năngtrả nợVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khả năngtrả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năngtrả nợVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khả năngtrả nợVND
a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,,,,
Phải trả nhà cung cấp nước ngoài,a) Các khoản phải trả người bán ngắn hạn > Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,264.563.403.829,264.563.403.829,179.693.704.953,179.693.704.953,264563403829.0,264563403829.0,179693704953.0,179693704953.0
Phải trả nhà cung cấp trong nước,a) Các khoản phải trả người bán ngắn hạn > Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,36.626.057.078,36.626.057.078,17.077.399.266,17.077.399.266,36626057078.0,36626057078.0,17077399266.0,17077399266.0
Cộng,a) Các khoản phải trả người bán ngắn hạn > Cộng,Cộng,301.189.460.907,301.189.460.907,196.771.104.219,196.771.104.219,301189460907.0,301189460907.0,196771104219.0,196771104219.0
5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,5.15. Người mua trả tiền trước ngắn hạn,,,,
,,,31/12/2016,31/12/2016,01/01/2016,01/01/2016,,,,
,,,Giá trịVND,Số có khả năngtrả nợVND,Giá trịVND,Số có khả năngtrả nợVND,,,,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Người mua trả tiền trước nước ngoài,Người mua trả tiền trước ngắn hạn > Người mua trả tiền trước nước ngoài,Người mua trả tiền trước nước ngoài,9.328.214.301,9.328.214.301,10.715.019.167,10.715.019.167,9328214301.0,9328214301.0,10715019167.0,10715019167.0
Người mua trả tiền trước trong nước,Người mua trả tiền trước ngắn hạn > Người mua trả tiền trước trong nước,Người mua trả tiền trước trong nước,1.363.447.955,1.363.447.955,1.155.513.000,1.155.513.000,1363447955.0,1363447955.0,1155513000.0,1155513000.0
Cộng,Người mua trả tiền trước ngắn hạn > Cộng,Cộng,10.691.662.256,10.691.662.256,11.870.532.167,11.870.532.167,10691662256.0,10691662256.0,11870532167.0,11870532167.0
