row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Số đã báo cáo > VND,col_3,Phân loại lại > VND,Số sau phân loại lại > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__col_3,numeric__Phân loại lại > VND,numeric__Số sau phân loại lại > VND
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,1.039.632.585.535,,-,1.039.632.585.535,300.0,1039632585535.0,,,1039632585535.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,453.200.161.266,,-,453.200.161.266,330.0,453200161266.0,,,453200161266.0
1. Vay và nợ thuê tài chính dài hạn,1. Vay và nợ thuê tài chính dài hạn,1. Vay và nợ thuê tài chính dài hạn,338,156.262.661.266,296.937.500.000,296.937.500.000,453.200.161.266,338.0,156262661266.0,296937500000.0,296937500000.0,453200161266.0
2. Trái phiếu chuyển đổi,2. Trái phiếu chuyển đổi,2. Trái phiếu chuyển đổi,339,296.937.500.000,(296.937.500.000),(296.937.500.000),-,339.0,296937500000.0,-296937500000.0,-296937500000.0,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,1.820.836.425.296,,-,1.820.836.425.296,440.0,1820836425296.0,,,1820836425296.0
