row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,10.487,10487.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,2.755,2755.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,239.562,239562.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,4.873,4873.0
,,,257.677,257677.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,3.111,3111.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,13.805,13805.0
,,,16.916,16916.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,240.761,240761.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,32.780,32780.0
Lợi thể thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thể thương mại từ hợp nhất kinh doanh,Lợi thể thương mại từ hợp nhất kinh doanh,76.487,76487.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,350.028,350028.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,10.487,10487.0
Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2021,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2021,Tiền chi để mua công ty con tính đến ngày 31 tháng 12 năm 2021,(350.028),-350028.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(339.541),-339541.0
