row_label_raw,row_label_full,TT,Tên công ty,Tên viết tất,Tỷ lệ biểu quyết (%) (*),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tất,numeric__Tỷ lệ biểu quyết (%) (*),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Vincom Retail,Công ty Vincom Retail,"60,33","60,30",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,60.33,60.3,,
2,2,2,Công ty TNHH Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,"100,00","60,30","Tòa nhà văn phòng Symphony, Đường Chu Huy Mân, Khu đô thị sinh thái Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,60.3,,
3,3,3,Công ty Cổ phần Đầu tư và Phát triển Đỏ thị Suối Hoa,Công ty Suối Hoa,"97,27","58,66","Km1 + 200, Đường Trần Hưng Đạo, Phường Suối Hoa, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,97.27,58.66,,
4,4,4,Công ty Cổ phần Vinhomes,Công ty Vinhomes,"69,34","69,34","Tòa nhà văn phòng Symphony, Đường Chu Huy Mân, Khu đô thị sinh thái Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sảnCho thuê văn phòng, căn hộ và cung cấp dịch vụ quản lý bất động sảnXây dựng nhà và các công trình kỹ thuật dân dụng",,,69.34,69.34,,
5,5,5,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Hoàng Gia,"97,85","67,85","Số 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,97.85,67.85,,
6,6,6,Công ty Cổ phần Đầu tư và Phát triển Đỏ thị Sài Đồng,Công ty Sài Đồng,"100,00","69,34",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,69.34,,
7,7,7,Công ty Cổ phần Bất động sản Xavinco,Công ty Xavinco,"96,44","96,12","Số 191, Phố Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,96.44,96.12,,
8,8,8,Công ty TNHH Xalivico,Công ty Xalivico,"74,00","71,13","Số 233, Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,74.0,71.13,,
9,9,9,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Thăng Long,Công ty BĐS Thăng Long,"73,00","69,93",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,73.0,69.93,,
10,10,10,Công ty Cổ phần Trung tâm Hội chợ Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,"87,97","86,70","Số 148, Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,87.97,86.7,,
