row_label_raw,row_label_full,col_0,Don vị tính: triệu VND,Don vị tính: triệu VND_1,numeric__Don vị tính: triệu VND,numeric__Don vị tính: triệu VND_1
,,,Năm nay,Năm trước,,
Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,29.694.482,44.228.229,29694482.0,44228229.0
Giá vốn hoạt động sản xuất,Giá vốn hoạt động sản xuất,Giá vốn hoạt động sản xuất,29.681.751,25.110.350,29681751.0,25110350.0
"Giá vốn từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Giá vốn từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Giá vốn từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công",6.522.914,418.058,6522914.0,418058.0
Giá vốn cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Giá vốn cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Giá vốn cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,2.919.916,3.395.295,2919916.0,3395295.0
Giá vốn bán hàng tiêu dùng,Giá vốn bán hàng tiêu dùng,Giá vốn bán hàng tiêu dùng,4.255.429,1.100.614,4255429.0,1100614.0
"Giá vốn cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Giá vốn cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Giá vốn cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",9.211.125,11.562.009,9211125.0,11562009.0
Giá vốn cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Giá vốn cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Giá vốn cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,2.852.652,2.833.990,2852652.0,2833990.0
Giá vốn cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Giá vốn cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Giá vốn cung cấp dịch vụ giáo dục và các dịch vụ liên quan,2.005.804,1.989.737,2005804.0,1989737.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,4.479.092,2.538.945,4479092.0,2538945.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,91.623.165,93.177.227,91623165.0,93177227.0
