row_label_raw,row_label_full,col_0,Công ty Nam Hà Nội,Công ty Sài Đồng,Công ty Hoàng Gia,Các công ty con khác,Đơn vị tính: triệu VND Tổng cộng,numeric__Công ty Nam Hà Nội,numeric__Công ty Sài Đồng,numeric__Công ty Hoàng Gia,numeric__Các công ty con khác,numeric__Đơn vị tính: triệu VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),1.574.980,1.593.734,849.893,2.939.691,6.958.298,1574980.0,1593734.0,849893.0,2939691.0,6958298.0
Phát sinh từ hợp nhất kinh doanh,Nguyên giá: > Phát sinh từ hợp nhất kinh doanh,Phát sinh từ hợp nhất kinh doanh,-,-,-,94.255,94.255,,,,94255.0,94255.0
Giảm trong năm,Nguyên giá: > Giảm trong năm,Giảm trong năm,(95.196),(138.679),(37.156),(480.851),(751.882),-95196.0,-138679.0,-37156.0,-480851.0,-751882.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.479.784,1.455.055,812.737,2.553.095,6.300.671,1479784.0,1455055.0,812737.0,2553095.0,6300671.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,1.429.162,1.209.087,794.202,1.822.823,5.255.274,1429162.0,1209087.0,794202.0,1822823.0,5255274.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,141.991,161.252,55.209,234.540,592.992,141991.0,161252.0,55209.0,234540.0,592992.0
Giảm trong năm,Giá trị hao mòn lũy kế: > Giảm trong năm,Giảm trong năm,(91.369),(120.664),(36.674),(443.343),(692.050),-91369.0,-120664.0,-36674.0,-443343.0,-692050.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.479.784,1.249.675,812.737,1.614.020,5.156.216,1479784.0,1249675.0,812737.0,1614020.0,5156216.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),145.818,384.647,55.691,1.116.868,1.703.024,145818.0,384647.0,55691.0,1116868.0,1703024.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,205.380,-,939.075,1.144.455,,205380.0,,939075.0,1144455.0
