row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Kỹ thương Việt Nam,Số cuối năm(triệu VND) > 44.445.283,Ngày đảo hạn > Từ tháng 11 năm 2022đến tháng 11 năm 2026,"Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ8,1%/năm đến 10,45%/năm. Lãi suấtcó định 8,5%/năm",Tài sản đảm bảo > (i),numeric__Số cuối năm(triệu VND) > 44.445.283,numeric__Ngày đảo hạn > Từ tháng 11 năm 2022đến tháng 11 năm 2026,"numeric__Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ8,1%/năm đến 10,45%/năm. Lãi suấtcó định 8,5%/năm",numeric__Tài sản đảm bảo > (i)
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,9.888.902,,,,9888902.0,,,
Công ty Cổ phần Chứng khoán KB Việt Nam,Công ty Cổ phần Chứng khoán KB Việt Nam,Công ty Cổ phần Chứng khoán KB Việt Nam,1.496.202,Từ tháng 12 năm 2022đến tháng 5 năm 2023,"Lãi suất thả nổi, lãi suất trong năm từ9,3%/năm đến 10,65%/năm",(i),1496202.0,,,
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,996.625,Từ tháng 12 năm 2022đến tháng 5 năm 2023,"Lãi suất thả nổi, lãi suất trong năm từ9,3%/năm đến 10,65%/năm",(i),996625.0,,,
"Credit Suisse Singapore Limited, The HongKong andShanghai Banking Corporation Limited (Singapore) vàMorgan Stanley Asia (Singapore) PTE. (*)","Credit Suisse Singapore Limited, The HongKong andShanghai Banking Corporation Limited (Singapore) vàMorgan Stanley Asia (Singapore) PTE. (*)","Credit Suisse Singapore Limited, The HongKong andShanghai Banking Corporation Limited (Singapore) vàMorgan Stanley Asia (Singapore) PTE. (*)",11.174.010,Tháng 4 năm 2026,Lãi suất có định 3%/năm,(ii),11174010.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,57.115.495,,,,57115495.0,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,46.229.968,,,,46229968.0,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,10.885.527,,,,10885527.0,,,
"(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản trái phiếu này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11), tài sản có định hữu hình (Thuyết minh số 14), bất động sản đầu tư (Thuyết minh số 16), chi phí xây dựng cơ bản dở dang (Thuyết minh số 18) và khoản bảo lãnh thanh toán bởi một quỹ tín thác của Ngân hàng Phát triển Châu Á; và- Một số cổ phiếu của một số công ty con được nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.",,,,
"(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.","(*) Trái chủ nắm giữ khoản trái phiếu này có quyền hoán đối trái phiếu thành cổ phiếu phổ thông của Công ty Cổ phần Vinhomes (""Công ty Vinhomes""), một công ty con, theo mức giá thực hiện đã được xác định tại thời điểm phát hành trái phiếu và có thể được điều chỉnh theo quy định tại các văn kiện trái phiếu.",,,,
