row_label_raw,row_label_full,col_0,Kinh doanhchuyên nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Hoạt động sản xuất và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanhchuyên nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Hoạt động sản xuất và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,79.452.457,5.368.456,3.242.759,2.777.795,2.252.456,16.936.815,15.657.132,-,125.687.870,79452457.0,5368456.0,3242759.0,2777795.0,2252456.0,16936815.0,15657132.0,,125687870.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,607.202,571.723,147.896,2.008,1.134.383,2.070.184,(4.533.396),-,,607202.0,571723.0,147896.0,2008.0,1134383.0,2070184.0,-4533396.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,79.452.457,5.975.658,3.814.482,2.925.691,2.254.464,18.071.198,17.727.316,(4.533.396),125.687.870,79452457.0,5975658.0,3814482.0,2925691.0,2254464.0,18071198.0,17727316.0,-4533396.0,125687870.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanh > Khẩu hao và hao mòn (bao gồm lợi thế thương mại),Khẩu hao và hao mòn (bao gồm lợi thế thương mại),490.835,1.940.949,2.793.710,565.182,412.434,8.093.028,623.490,-,14.919.628,490835.0,1940949.0,2793710.0,565182.0,412434.0,8093028.0,623490.0,,14919628.0
Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Kết quả hoạt động kinh doanh > Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,-,-,-,-,-,(42.564),896,-,(41.668),,,,,,-42564.0,896.0,,-41668.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,38.528.094,1.865.750,(10.880.404),(1.241.728),(272.229),(23.021.509),(2.024.196),124.892,3.078.670,38528094.0,1865750.0,-10880404.0,-1241728.0,-272229.0,-23021509.0,-2024196.0,124892.0,3078670.0
Thu nhập thuần không phân bổ,Kết quả hoạt động kinh doanh > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,67.781,,,,,,,,,67781.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,133.136.200,49.322.137,50.062.683,10.530.638,9.430.655,110.961.253,15.158.126,(2.456.798),376.144.894,133136200.0,49322137.0,50062683.0,10530638.0,9430655.0,110961253.0,15158126.0,-2456798.0,376144894.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,52.239.571,,,,,,,,,52239571.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,85.246.908,3.176.106,13.527.064,1.311.621,2.673.651,16.332.519,3.826.201,(2.456.798),123.637.272,85246908.0,3176106.0,13527064.0,1311621.0,2673651.0,16332519.0,3826201.0,-2456798.0,123637272.0
Tổng nợ phải trả không phân bổ,Tài sản và công nợ > Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,,,,,145.175.327,,,,,,,,,145175327.0
