row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty SV,Công ty SV,Công ty SV,Cùng chủ sở hữu,Phải thu chuyển nhượng bất động sản,3.601.722,-,,,3601722.0,
Công ty SV,Công ty SV,Công ty SV,Cùng chủ sở hữu,Phải thu chuyển nhượng bất động sản,3.601.722,-,,,3601722.0,
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Các cả nhân,Phải thu ngắn hạn khác (Thuyết minh số 9) > Các cả nhân,Các cả nhân,Các cổ đông lớn và bên liên quan khác,Phải thu từ chỉ hộ góp vốn,-,3.564.495,,,,3564495.0
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu chỉ phí từ thiện,104.610,509.054,,,104610.0,509054.0
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu chỉ phí từ thiện,104.610,4.073.549,,,104610.0,4073549.0
Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),Tài sản khác (Thuyết minh số 13),,,,
Các cả nhân,Tài sản khác (Thuyết minh số 13) > Các cả nhân,Các cả nhân,Thành viên mật thiết trong gia đình của cổ đông lớn và các bên liên quan khác,Đặt cọc mua cổ phần,394.000,-,,,394000.0,
Các cả nhân,Tài sản khác (Thuyết minh số 13) > Các cả nhân,Các cả nhân,Thành viên mật thiết trong gia đình của cổ đông lớn và các bên liên quan khác,Đặt cọc mua cổ phần,394.000,-,,,394000.0,
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Công ty MV1,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty MV1,Công ty MV1,Công ty liên kết đến ngày 31 tháng 3 năm 2021,Doanh thu chưa thực hiện từ giao dịch với công ty liên kết,-,1.735.404,,,,1735404.0
Công ty MV1,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty MV1,Công ty MV1,Công ty liên kết đến ngày 31 tháng 3 năm 2021,Doanh thu chưa thực hiện từ giao dịch với công ty liên kết,-,1.735.404,,,,1735404.0
