row_label_raw,row_label_full,col_0,Số cuối năm > Tổng số,Số cuối năm > Cổ phiếu phổ thông,Số cuối năm > Cổ phiếu ưu đãi,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,Đơn vị tính: triệu VND > Số đầu năm_2,numeric__Số cuối năm > Tổng số,numeric__Số cuối năm > Cổ phiếu phổ thông,numeric__Số cuối năm > Cổ phiếu ưu đãi,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Đơn vị tính: triệu VND > Số đầu năm_2
,,,Tổng số,Cổ phiếu phổ thông,Cổ phiếu ưu đãi,Tổng số,Cổ phiếu phổ thông,Cổ phiếu ưu đãi,,,,,,
Vốn góp từ cổ đông,Vốn góp từ cổ đông,Vốn góp từ cổ đông,38.675.533,38.052.148,623.385,34.447.691,33.824.306,623.385,38675533.0,38052148.0,623385.0,34447691.0,33824306.0,623385.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,40.063.173,31.795.978,8.267.195,35.411.957,27.144.762,8.267.195,40063173.0,31795978.0,8267195.0,35411957.0,27144762.0,8267195.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,(1.344.123),(1.344.123),-,(2.284.059),(2.284.059),-,-1344123.0,-1344123.0,,-2284059.0,-2284059.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,77.394.583,68.504.003,8.890.580,67.575.589,58.685.009,8.890.580,77394583.0,68504003.0,8890580.0,67575589.0,58685009.0,8890580.0
