row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Ngắn hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)",29.267.571,30.156.595,29267571.0,30156595.0
Đặt cọc cho hoạt động đầu tư,Ngắn hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,3.386.830,5.697.222,3386830.0,5697222.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),2.471.719,2.297.299,2471719.0,2297299.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo","Ngắn hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo",556.451,599.618,556451.0,599618.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,4.879.022,4.699.455,4879022.0,4699455.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,40.561.593,43.450.189,40561593.0,43450189.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Dài hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng",1.352.921,1.505.571,1352921.0,1505571.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Dài hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",(556.451),(599.618),-556451.0,-599618.0
Đặt cọc chuyển nhượng dự án bất động sản (i),Dài hạn > Đặt cọc chuyển nhượng dự án bất động sản (i),Đặt cọc chuyển nhượng dự án bất động sản (i),-,3.727.387,,3727387.0
Các khoản phải trả dài hạn khác,Dài hạn > Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,853.701,1.623.878,853701.0,1623878.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.650.171,6.257.218,1650171.0,6257218.0
