row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,,,,
Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,-,256.060,,256060.0
Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,,,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,31.188.988,12.951.651,31188988.0,12951651.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,18.250.508,28.041.946,18250508.0,28041946.0
Tiền thu từ phát hành trái phiếu hoán đối,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu hoán đối,Tiền thu từ phát hành trái phiếu hoán đối,20.827.336,-,20827336.0,
Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),,,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(41.704.434),(11.673.816),-41704434.0,-11673816.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(21.573.455),(22.415.545),-21573455.0,-22415545.0
Tiền mua lại trái phiếu hoán đối,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền mua lại trái phiếu hoán đối,Tiền mua lại trái phiếu hoán đối,(56.376),(4.868.759),-56376.0,-4868759.0
