row_label_raw,row_label_full,Dự án,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Dự án Vinhomes Long Beach Cần Giờ,Dự án Vinhomes Long Beach Cần Giờ,Dự án Vinhomes Long Beach Cần Giờ,12.730.669,12.539.036,12730669.0,12539036.0
Dự án Khu đô thị khu vực TP.HCM,Dự án Khu đô thị khu vực TP.HCM,Dự án Khu đô thị khu vực TP.HCM,12.360.561,87.154,12360561.0,87154.0
Dự án VinFast,Dự án VinFast,Dự án VinFast,9.373.606,9.874.017,9373606.0,9874017.0
