row_label_raw,row_label_full,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm trước
109.123,109.123,109.123,908.046,908046.0
1.155.000,1.155.000,1.155.000,2.617.100,2617100.0
324.079,324.079,324.079,38.486,38486.0
6.377.153,6.377.153,6.377.153,-,
3.870.224,3.870.224,3.870.224,-,
447.391,447.391,447.391,-,
2.025.059,2.025.059,2.025.059,-,
-,2.025.059 > -,-,3.564.495,3564495.0
2.209.900,2.209.900,2.209.900,-,
394.000,394.000,394.000,-,
295.283,295.283,295.283,-,
