row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: triệu VND > Năm nay > 4.227.842,Đơn vị tính: triệu VND > Năm trước > -,numeric__Đơn vị tính: triệu VND > Năm nay > 4.227.842,numeric__Đơn vị tính: triệu VND > Năm trước > -
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,,
"Cổ tức trả bằng cổ phiếu cho năm 2021:124,9999297 cổ phiếu/1000 cổ phiếu hiệnhửu (2020: 0 cổ phiếu)","Cổ tức trên cổ phiếu phổ thông > Cổ tức trả bằng cổ phiếu cho năm 2021:124,9999297 cổ phiếu/1000 cổ phiếu hiệnhửu (2020: 0 cổ phiếu)","Cổ tức trả bằng cổ phiếu cho năm 2021:124,9999297 cổ phiếu/1000 cổ phiếu hiệnhửu (2020: 0 cổ phiếu)",4.227.842,-,4227842.0,
Cổ tức đã công bố sau ngày kết thúc kỳ kế toánnăm và chưa được ghi nhận là nợ phải trả vàongày 31 tháng 12 năm 2021,Cổ tức đã công bố sau ngày kết thúc kỳ kế toánnăm và chưa được ghi nhận là nợ phải trả vàongày 31 tháng 12 năm 2021,Cổ tức đã công bố sau ngày kết thúc kỳ kế toánnăm và chưa được ghi nhận là nợ phải trả vàongày 31 tháng 12 năm 2021,-,-,,
