row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Dự phòng chi phí bồi thường hợp đồng (i),Ngắn hạn > Dự phòng chi phí bồi thường hợp đồng (i),Dự phòng chi phí bồi thường hợp đồng (i),4.494.150,-,4494150.0,
Dự phòng cho hợp đồng có rủi ro lớn (ii),Ngắn hạn > Dự phòng cho hợp đồng có rủi ro lớn (ii),Dự phòng cho hợp đồng có rủi ro lớn (ii),2.708.893,3.537.864,2708893.0,3537864.0
Dự phòng chi phí bảo hành,Ngắn hạn > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,435.779,505.621,435779.0,505621.0
Dự phòng chi phí phải trả do cam kết sản lượng mua hàng,Ngắn hạn > Dự phòng chi phí phải trả do cam kết sản lượng mua hàng,Dự phòng chi phí phải trả do cam kết sản lượng mua hàng,423.512,1.551.888,423512.0,1551888.0
Dự phòng phải trả khác,Ngắn hạn > Dự phòng phải trả khác,Dự phòng phải trả khác,9.628,47.636,9628.0,47636.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,8.071.962,5.643.009,8071962.0,5643009.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Dự phòng cho hợp đồng có rủi ro lớn (ii),Dài hạn > Dự phòng cho hợp đồng có rủi ro lớn (ii),Dự phòng cho hợp đồng có rủi ro lớn (ii),1.855.912,-,1855912.0,
Dự phòng chi phí bảo hành,Dài hạn > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,319.107,374.297,319107.0,374297.0
Dự phòng phải trả khác,Dài hạn > Dự phòng phải trả khác,Dự phòng phải trả khác,2.016,2.016,2016.0,2016.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.177.035,376.313,2177035.0,376313.0
