row_label_raw,row_label_full,col_0,Số đầu năm,Thay đổi trong năm > Phát hành thêm,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,Thay đổi trong năm > Mua lại trái phiếu,Đơn vị tính: USD > Số cuối năm,numeric__Số đầu năm,numeric__Thay đổi trong năm > Phát hành thêm,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,numeric__Thay đổi trong năm > Mua lại trái phiếu,numeric__Đơn vị tính: USD > Số cuối năm
Trái phiếu hoánđổi số 1,Trái phiếu hoánđổi số 1,Trái phiếu hoánđổi số 1,240.600.000,-,(238.200.000),(2.400.000),-,240600000.0,,-238200000.0,-2400000.0,
Trái phiếu hoándổi số 2,Trái phiếu hoándổi số 2,Trái phiếu hoándổi số 2,-,425.000.000,-,-,425.000.000,,425000000.0,,,425000000.0
,,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,,
,,,,,,Năm nay,Năm trước,,,,,
Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,,,,5.505.646,10.259.215,,,,5505646.0,10259215.0
Giá trị trái phiếu phát hành thêm trong năm,Giá trị trái phiếu phát hành thêm trong năm,Giá trị trái phiếu phát hành thêm trong năm,,,,9.501.445,-,,,,9501445.0,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,15.007.091,10.259.215,,,,15007091.0,10259215.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,,,,,,,,,,
Số đầu năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số đầu năm,Số đầu năm,,,,202.330,81.913,,,,202330.0,81913.0
Số phân bổ tăng trong năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,,,,88.283,120.417,,,,88283.0,120417.0
Số cuối năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số cuối năm,Số cuối năm,,,,290.613,202.330,,,,290613.0,202330.0
Trừ: Lãi chênh lệch tỷ giá đánh giá lại cuối năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Trừ: Lãi chênh lệch tỷ giá đánh giá lại cuối năm,Trừ: Lãi chênh lệch tỷ giá đánh giá lại cuối năm,,,,(26.645),(5.227),,,,-26645.0,-5227.0
Mua lại trong năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Mua lại trong năm,Mua lại trong năm,,,,(56.376),(4.868.759),,,,-56376.0,-4868759.0
Hoán đồi thành cổ phiếu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Hoán đồi thành cổ phiếu,Hoán đồi thành cổ phiếu,,,,(5.523.858),-,,,,-5523858.0,
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,9.488.495,5.505.646,,,,9488495.0,5505646.0
