row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,444.656,912.572,444656.0,912572.0
Chi phí thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn > Chi phí thuế thu nhập doanh nghiệp tạm nộp,Chi phí thuế thu nhập doanh nghiệp tạm nộp,119.224,296.233,119224.0,296233.0
"Chi phí công cụ, dụng cụ","Ngắn hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",77.852,81.087,77852.0,81087.0
Chi phí phát triển sản phẩm,Ngắn hạn > Chi phí phát triển sản phẩm,Chi phí phát triển sản phẩm,4.860,750.395,4860.0,750395.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,653.274,712.773,653274.0,712773.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.299.866,2.753.060,1299866.0,2753060.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí thuê đất trả trước,Dài hạn > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,3.327.419,3.365.145,3327419.0,3365145.0
"Chi phí công cụ, dụng cụ","Dài hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.007.858,1.278.260,1007858.0,1278260.0
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,601.524,352.350,601524.0,352350.0
Chi phí trước hoạt động,Dài hạn > Chi phí trước hoạt động,Chi phí trước hoạt động,364.681,866.288,364681.0,866288.0
Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và cần hộ khách sạn,Dài hạn > Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và cần hộ khách sạn,Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và cần hộ khách sạn,50.195,263.472,50195.0,263472.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,363.299,2.216.962,363299.0,2216962.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.714.976,8.342.477,5714976.0,8342477.0
