row_label_raw,row_label_full,col_0,Giá trị hợp lýđược xác định tạmthời tại ngày mua,Điều chỉnh giá trị hợp lý,Giá trị hợp lýsau điều chỉnh,numeric__Giá trị hợp lýđược xác định tạmthời tại ngày mua,numeric__Điều chỉnh giá trị hợp lý,numeric__Giá trị hợp lýsau điều chỉnh
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tươngđương tiền,Tài sản > Tiền và các khoản tươngđương tiền,Tiền và các khoản tươngđương tiền,44.594,-,44.594,44594.0,,44594.0
Phải thu ngắn hạn của kháchhàng,Tài sản > Phải thu ngắn hạn của kháchhàng,Phải thu ngắn hạn của kháchhàng,65.421,-,65.421,65421.0,,65421.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,178.318,-,178.318,178318.0,,178318.0
Chi phí trả trước,Tài sản > Chi phí trả trước,Chi phí trả trước,113.679,-,113.679,113679.0,,113679.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.536.244,1.544.617,3.080.861,1536244.0,1544617.0,3080861.0
Chi phí xây dựng cơ bản đởdang,Tài sản > Chi phí xây dựng cơ bản đởdang,Chi phí xây dựng cơ bản đởdang,120.116,-,120.116,120116.0,,120116.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,96.240,77.933,174.173,96240.0,77933.0,174173.0
,,,2.154.612,1.622.550,3.777.162,2154612.0,1622550.0,3777162.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,37.598,-,37.598,37598.0,,37598.0
Vay và nợ,Nợ phải trả > Vay và nợ,Vay và nợ,504.792,-,504.792,504792.0,,504792.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,48.043,-,48.043,48043.0,,48043.0
Thuế thu nhập doanh nghiệphoản lại phải trả,Nợ phải trả > Thuế thu nhập doanh nghiệphoản lại phải trả,Thuế thu nhập doanh nghiệphoản lại phải trả,-,324.510,324.510,,324510.0,324510.0
,,,590.433,324.510,914.943,590433.0,324510.0,914943.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,1.564.179,1.298.040,2.862.219,1564179.0,1298040.0,2862219.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,282.918,512.600,795.518,282918.0,512600.0,795518.0
Lợi thế thương mại từ hợp nhấtkinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhấtkinh doanh,Lợi thế thương mại từ hợp nhấtkinh doanh,932.903,(785.440),147.463,932903.0,-785440.0,147463.0
