row_label_raw,row_label_full,col_0,Kinh doanhchuyểnnhuống bấtđộng sản,Kinh doanh chothuế bất động sảnđầu tư và các dịchvụ liên quan,"Kinh doanh dịch vụkhách sạn du lịch,vui chơi giải trí vàcác dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Hoạt động sản xuất và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Kinh doanhchuyểnnhuống bấtđộng sản,numeric__Kinh doanh chothuế bất động sảnđầu tư và các dịchvụ liên quan,"numeric__Kinh doanh dịch vụkhách sạn du lịch,vui chơi giải trí vàcác dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Hoạt động sản xuất và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,72.167.292,6.662.044,4.868.877,2.674.749,2.244.430,17.415.481,4.457.160,,110.490.033,72167292.0,6662044.0,4868877.0,2674749.0,2244430.0,17415481.0,4457160.0,,110490033.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,,590.398,97.064,91.087,,1.552.839,3.853.741,(6.185.129),,,590398.0,97064.0,91087.0,,1552839.0,3853741.0,-6185129.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,72.167.292,7.252.442,4.965.941,2.765.836,2.244.430,18.968.320,8.310.901,(6.185.129),110.490.033,72167292.0,7252442.0,4965941.0,2765836.0,2244430.0,18968320.0,8310901.0,-6185129.0,110490033.0
Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),520.339,1.994.416,2.549.190,624.484,276.016,4.081.757,285.959,,10.332.161,520339.0,1994416.0,2549190.0,624484.0,276016.0,4081757.0,285959.0,,10332161.0
Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Doanh thu thuần > Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,-,-,(255.000),-,-,(41.520),31.242,,(265.278),,,-255000.0,,,-41520.0,31242.0,,-265278.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,21.459.694,2.743.551,(12.064.754),(1.414.485),(250.649),(12.385.746),(1.311.204),(385.555),(3.609.148),21459694.0,2743551.0,-12064754.0,-1414485.0,-250649.0,-12385746.0,-1311204.0,-385555.0,-3609148.0
Thu nhập thuần không phân bổ,Doanh thu thuần > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,17.551.703,,,,,,,,,17551703.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,
Tài sản theo bộ phận (Trình bày lại),Tài sản và công nợ > Tài sản theo bộ phận (Trình bày lại),Tài sản theo bộ phận (Trình bày lại),138.152.174,48.320.747,55.001.974,9.409.263,10.070.097,101.195.839,9.525.471,(1.242.769),370.432.796,138152174.0,48320747.0,55001974.0,9409263.0,10070097.0,101195839.0,9525471.0,-1242769.0,370432796.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,52.908.081,,,,,,,,,52908081.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,102.436.571,3.301.896,15.850.911,894.193,1.929.741,12.784.324,3.335.361,(1.242.769),139.290.228,102436571.0,3301896.0,15850911.0,894193.0,1929741.0,12784324.0,3335361.0,-1242769.0,139290228.0
Tổng nợ phải trả không phân bổ (Trình bày lại),Tài sản và công nợ > Tổng nợ phải trả không phân bổ (Trình bày lại),Tổng nợ phải trả không phân bổ (Trình bày lại),,,,,,,,,147.685.334,,,,,,,,,147685334.0
Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh (Trình bày lại),Tài sản và công nợ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh (Trình bày lại),Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh (Trình bày lại),2.412.849,,,,,248.229,142.315,,2.803.393,2412849.0,,,,,248229.0,142315.0,,2803393.0
Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Tài sản và công nợ > Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,1.051.288,4.505.370,6.160.298,662.768,2.385.931,12.250.461,819.450,,27.835.566,1051288.0,4505370.0,6160298.0,662768.0,2385931.0,12250461.0,819450.0,,27835566.0
