row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bị vănphòng,Tài sản cố định khác,Đơn vị tính: triệu VND,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản cố định khác,numeric__Đơn vị tính: triệu VND
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,201.367,1.395.407,93.646,159.037,153.283,2.002.740,201367.0,1395407.0,93646.0,159037.0,153283.0,2002740.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,6.275.033,10.813.722,629.516,337.707,830.410,18.886.388,6275033.0,10813722.0,629516.0,337707.0,830410.0,18886388.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,2.098.061,6.138.242,306.183,128.993,221.872,8.893.351,2098061.0,6138242.0,306183.0,128993.0,221872.0,8893351.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,5.451,21.951,5.009,417,-,32.828,5451.0,21951.0,5009.0,417.0,,32828.0
Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),41.953,26.643,-,-,-,68.596,41953.0,26643.0,,,,68596.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.059),(97.133),(31.822),(7.578),(7.200),(153.792),-10059.0,-97133.0,-31822.0,-7578.0,-7200.0,-153792.0
Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),(42.773),(30.924),-,-,-,(73.697),-42773.0,-30924.0,,,,-73697.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(563.467),(277.846),8.558,(72.288),(112.284),(1.017.327),-563467.0,-277846.0,8558.0,-72288.0,-112284.0,-1017327.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,7.804.199,16.594.655,917.444,387.251,932.798,26.636.347,7804199.0,16594655.0,917444.0,387251.0,932798.0,26636347.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),52.455.935,48.236.811,1.629.539,554.511,1.315.874,104.192.670,52455935.0,48236811.0,1629539.0,554511.0,1315874.0,104192670.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,53.212.752,49.465.966,1.721.743,274.547,1.392.432,106.067.440,53212752.0,49465966.0,1721743.0,274547.0,1392432.0,106067440.0
