row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Trích trước chi phí xây dựng bất động sản và các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao,Ngắn hạn: > Trích trước chi phí xây dựng bất động sản và các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao,Trích trước chi phí xây dựng bất động sản và các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao,17.543.882,16.390.002,17543882.0,16390002.0
Chi phí bán hàng trích trước,Ngắn hạn: > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,3.427.101,2.828.011,3427101.0,2828011.0
Chi phí lãi vay trích trước,Ngắn hạn: > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,1.114.991,1.284.898,1114991.0,1284898.0
Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thư và căn hộ khách sạn,Ngắn hạn: > Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thư và căn hộ khách sạn,Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thư và căn hộ khách sạn,1.693.792,1.089.052,1693792.0,1089052.0
Các khoản chi phí phải trả khác,Ngắn hạn: > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,2.503.051,3.082.994,2503051.0,3082994.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,26.282.817,24.674.957,26282817.0,24674957.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí lãi vay trích trước,Dài hạn: > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,1.603.372,1.077.494,1603372.0,1077494.0
Các khoản chi phí phải trả khác,Dài hạn: > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,54.607,30.036,54607.0,30036.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,1.657.979,1.107.530,1657979.0,1107530.0
