row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Đơn vị tính: triệu VND > Số đã nộp/cán trừ trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Đơn vị tính: triệu VND > Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,487.332,3.771.866,(4.026.657),232.541,487332.0,3771866.0,-4026657.0,232541.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,656.565,4.609.493,(4.865.015),401.043,656565.0,4609493.0,-4865015.0,401043.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,4.667.342,9.407.819,(10.722.323),3.352.838,4667342.0,9407819.0,-10722323.0,3352838.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,201.649,1.549.399,(1.547.560),203.488,201649.0,1549399.0,-1547560.0,203488.0
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",1.547.094,947.162,(1.454.997),1.039.259,1547094.0,947162.0,-1454997.0,1039259.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,245.254,3.778.938,(3.596.339),427.853,245254.0,3778938.0,-3596339.0,427853.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,7.805.236,24.064.677,(26.212.891),5.657.022,7805236.0,24064677.0,-26212891.0,5657022.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu/cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,908.272,8.748,(314.122),602.898,908272.0,8748.0,-314122.0,602898.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,5.715,5.542,(4.956),6.301,5715.0,5542.0,-4956.0,6301.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,913.987,14.290,(319.078),609.199,913987.0,14290.0,-319078.0,609199.0
