row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, chi phí phát triển và các tài sản khác",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, chi phí phát triển và các tài sản khác",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),438.051,3.087.753,20.766.944,1.720.252,26.013.000,438051.0,3087753.0,20766944.0,1720252.0,26013000.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,178.154,22.929,19.140,220.223,,178154.0,22929.0,19140.0,220223.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),95.784,470.948,4.389.373,291.954,5.248.059,95784.0,470948.0,4389373.0,291954.0,5248059.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,-,(63.823),(42.623),(63.217),(169.663),,-63823.0,-42623.0,-63217.0,-169663.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,533.835,3.673.032,25.136.623,1.968.129,31.311.619,533835.0,3673032.0,25136623.0,1968129.0,31311619.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,262.679,688,1.073,264.440,,262679.0,688.0,1073.0,264440.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,95.551,828.280,1.973.999,123.354,3.021.184,95551.0,828280.0,1973999.0,123354.0,3021184.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,16.806,558.204,3.060.298,150.859,3.786.167,16806.0,558204.0,3060298.0,150859.0,3786167.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,-,(59.880),(3.249),(61.122),(124.251),,-59880.0,-3249.0,-61122.0,-124251.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,112.357,1.326.604,5.031.048,213.091,6.683.100,112357.0,1326604.0,5031048.0,213091.0,6683100.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),342.500,2.259.473,18.792.945,1.596.898,22.991.816,342500.0,2259473.0,18792945.0,1596898.0,22991816.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,421.478,2.346.428,20.105.575,1.755.038,24.628.519,421478.0,2346428.0,20105575.0,1755038.0,24628519.0
