row_label_raw,row_label_full,Tên công ty,Số đầu năm(Trình bày lại) (*),"Phân chia lãi/(lỗ) từcông ty liên kết, liêndoanh",Cổ tức được chiatrong năm,"Chuyển thành côngty con, đầu tư dài hạn khác",Đơn vị tính: triệu VND > Số cuối năm (*),numeric__Số đầu năm(Trình bày lại) (*),"numeric__Phân chia lãi/(lỗ) từcông ty liên kết, liêndoanh",numeric__Cổ tức được chiatrong năm,"numeric__Chuyển thành côngty con, đầu tư dài hạn khác",numeric__Đơn vị tính: triệu VND > Số cuối năm (*)
Công ty MV1,Công ty MV1,Công ty MV1,2.412.849,-,-,(2.412.849),-,2412849.0,,,-2412849.0,
Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,168.733,(20.824),-,-,147.909,168733.0,-20824.0,,,147909.0
Công ty VinFast – An Phát,Công ty VinFast – An Phát,Công ty VinFast – An Phát,73.171,(18.084),-,(55.087),-,73171.0,-18084.0,,-55087.0,
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,47.124,614,-,-,47.738,47124.0,614.0,,,47738.0
Công ty Tường Phú,Công ty Tường Phú,Công ty Tường Phú,89.280,282,-,-,89.562,89280.0,282.0,,,89562.0
Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,6.325,(3.656),-,-,2.669,6325.0,-3656.0,,,2669.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,5.911,-,(295),-,5.616,5911.0,,-295.0,,5616.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.803.393,(41.668),(295),(2.467.936),293.494,2803393.0,-41668.0,-295.0,-2467936.0,293494.0
